Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Ulforce V-dramon 	Bo24	Bo-1112 	Aero V-dramon + Winning Percentage: 60%! Ulforce V-dramon (Red Frame) + X-Eraser Aero V-dramon + Paildramon	Ultimate	Gold	Royal Knights	Holy Knight 	Vaccine	WG	A	930	790	630	The evolution requirements cannot be ignored. Cannot receive the effects of Particle Worm No. 2. (O)The opponent loses its special abilities. (O)Cannot receive the effects of the opponent's Option cards. (O)You may discard two blue frame Digimon cards from your hand and double your attack power. 	III40 IV40 P40 U30
Aero V-dramon 	Bo24	Bo-1113 	V-dramon + Winning Percentage: 40%! Airdramon + Winning Percentage: 40%! V-dramon + XV-mon 	Perfect	Blue		Holy Dragon 	Vaccine	WG	A	570	500	360	(S)When your points are 80 and below, add 460 to the attack power of your Virus Busters or Vaccine attribute Digimon. (O)Has the abilities "sky" and "flame". (O)When you evolve into this Digimon due to the effects of the opponent's Option cards, reduce the opponent's points by 20. 	III30 IV30 P20 U10
V-dramon 	Bo24	Bo-1114 	V-mon + OO Guilmon + OOX Lucemon + OOOO	IV	Blue		Mythical Dragon 	Vaccine	WG	B	490	410	240	Cannot lose its special abilities. (S)Add 430 to the attack power of your Vaccine attribute Digimon. (O)When you evolve into this Digimon due to the effects of the opponent's Option cards, reduce the opponent's points by 20. 	III20 IV20 P10 U10
V-mon 	Bo24	Bo-1115 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Small Dragon 	Vaccine	VB	A	350	210	200	Cannot lose its special abilities. Cannot receive the effects of Particle Worm No. 2. (O)Digimon that evolve from this Digimon cannot receive the effects of 'Dark Tower', 'Infinity Tower', or 'The Blind Alley of Evolution' cards (including Warp evolved Digimon). 	III10 IV10 P10 U10
Magnamon 	Bo24	Bo-1116 	Armor EvolutionV-mon + Digimental of Miracles (This Digimon can also evolve with 'Digimental of Miracles' (St-306)) 	IV	Blue	Royal Knights	Holy Knight 	Vaccine	ME	B	530	430	240	The evolution requirements cannot be ignored. (O)Has the abilities "sky", "grappling" and "proud". (O)The opponent loses its special abilities. (O)Cannot receive the effects of the opponent's Option cards. 	III30 IV20 P20 U10
Maildramon 	Bo24	Bo-1117 	Armor EvolutionPlotmon + Digimental of Fate (This Digimon can also evolve with 'Digimental of Fate' (St-430)) 	IV	Blue		Cyborg 	Vaccine	ME	B	510	400	300	The evolution requirements cannot be ignored. (O)The opponent loses its special abilities. (O)Cannot receive the effects of the opponent's Option cards. (O)For every Digimon card you discard from your hand, add 50 to your attack power. 	III30 IV20 P20 U10
Rapidmon 	Bo24	Bo-1118 	Armor EvolutionTerriermon + Digimental of Fate (This Digimon can also evolve with 'Digimental of Fate' (St-430)) 	IV	Blue		Holy Knight 	Vaccine	ME	B	520	450	280	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)The opponent loses its special abilities. (O)Halve the opponent's final attack power, after taking into account effects and abilities. 	III30 IV20 P20 U10
Terriermon 	Bo24	Bo-1119 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Beast 	Vaccine	WG	B	350	270	160	Cannot lose its special abilities. Cannot receive the effects of Particle Worm No. 2. (O)Digimon that evolve from this Digimon cannot receive the effects of 'Dark Tower', 'Infinity Tower', or 'The Blind Alley of Evolution' cards (including Warp evolved Digimon). 	III10 IV10 P10 U10
Guilmon 	Bo24	Bo-1120 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Reptile 	Virus	Nsp	B	390	230	160	Cannot lose its special abilities. Cannot receive the effects of Particle Worm No. 2. (O)Digimon that evolve from this Digimon cannot receive the effects of 'Dark Tower', 'Infinity Tower', or 'The Blind Alley of Evolution' cards (including Warp evolved Digimon). 	III10 IV10 P10 U10
Black Growmon 	Bo24	Bo-1121 	Guilmon + XX Goburimon + X Gizamon + X	IV	Blue		Demon Dragon 	Virus	DA	A	490	380	160	Cannot lose its special abilities. (O)During battle, you may invalidate one of the opponent's Program Option cards before it takes effect (1 time max). 	III20 IV20 P10 U10
Megalo Growmon 	Bo24	Bo-1122 	Growmon + Winning Percentage: 40%! Maildramon + Winning Percentage: 40%! Black Growmon + Dobermon	Perfect	Blue		Cyborg 	Virus	ME	A	600	460	310	Cannot receive the effects of Particle Worm No. 2. (O)Your attack becomes C regardless of the opponent's battle type. (O)For every Digimon card you discard from your hand, add 200 to your attack power. 	III30 IV20 P20 U20
Dukemon Crimson Mode 	Bo24	Bo-1123 	Dukemon + The Revelation of Hidden Power!! Medieval Dukemon (Red Frame) + X-Eraser Guilmon + DigiGnome	Ultimate	Gold		Holy Knight 	Vaccine	WG	A	1060	680	600	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)The opponent cannot use the card 'Tactical Retreat!!'. (O)When you evolve from Guilmon, this Digimon is sent to the Dark Area at the end of the turn. 	III40 IV40 P30 U30
Cyberdramon 	Bo24	Bo-1124 	Strikedramon + Winning Percentage: 60%! V-dramon + Winning Percentage: 60%! Rapidmon (Armor) + Winning Percentage: 40%!	Perfect	Blue		Cyborg 	Vaccine	Nsp ME	A	600	490	330	Cannot receive the effects of 'Particle Worm No. 2' and 'Shaggai Hole'. (O)Has the ability "grappling". (O)This Digimon can use the cards 'King Device', 'Slot Hang!', and 'Berserk!!'. 	III30 IV30 P20 U20
War Greymon 	Bo24	Bo-1125 	Metal Greymon + Winning Percentage: 60%! Metal Greymon (Red Frame) + X-Eraser Cyberdramon + Cerberumon	Ultimate	Blue		Dragon Man 	Vaccine	Nsp ME	B	710	580	430	(O)Regain 30 points when you evolve into this Digimon. (O)This Digimon can use the card 'Noise Booster'. 	III40 IV30 P20 U20
Metal Greymon 	Bo24	Bo-1126 	Greymon + Winning Percentage: 40%! Metal Greymon (Red Frame) + X-Eraser Tyranomon + Winning Percentage: 40%!	Perfect	Blue		Cyborg 	Vaccine	Nsp	B	550	460	330	(S)When your points are 60 and below, add 490 to the attack power of your Vaccine or Data attribute Digimon. (O)Has the abilities "underground" and "grappling". (O)When you evolve into this Digimon due to the effects of the opponent's Option cards, reduce the opponent's points by 20. 	III30 IV20 P10 U10
