Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Omegamon 	St5	St-226 	St-226 	Fusion Requirements War Greymon + Fuse Into the Ultimate Digimon! Metal Garurumon + Fuse Into the Ultimate Digimon! (O)Cannot fuse from Virus attribute Digimon. (O)At the end of the turn during which this card was fused, send this card to the Dark Area.	Ultimate 	Blue 		Holy Knight 	Vaccine 	ME 	B 	720	720	550	The fusion requirements cannot be ignored. (O)The opponent loses its special abilities. (O)When you win the battle, send all of the opponent's Digimon (excluding Level III) to the Dark Area. 	III40 IV40 P30 U20
Agumon 	St5	St-227 	St-227 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Reptile 	Vaccine 	NSp 	B 	310	240	160	(O)Has the ability "underground".	III10 IV10 P10 U10
Agumon (1)	St5	St-228 	St-228 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Reptile 	Vaccine 	NSp 	A 	350	210	130	(O)Has the abilities "underground" and "grappling".	III10 IV10 P10 U10
Gabumon 	St5	St-229 	St-229 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Reptile 	Data 	NSp 	B 	340	200	180	(O)Has the abilities "underground" and "grappling".	III10 IV10 P10 U10
Gabumon (1)	St5	St-230 	St-230 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Reptile 	Data 	NSp 	C 	310	230	150	(O)Has the ability "grappling".	III10 IV10 P10 U10
Patamon 	St5	St-231 	St-231 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Mammal 	Vaccine 	WG 	B 	300	230	140	(O)Has the abilities "sky" and "underground".	III10 IV10 P10 U10
Greymon 	St5	St-232 	St-232 	Agumon + OO Gabumon + OO Wormmon + OX	IV 	Blue 		Dinosaur 	Vaccine 	NSp 	C 	410	330	200	(O)Has the ability "grappling".	III20 IV10 P10 U10
Greymon (1)	St5	St-233 	St-233 	Agumon + O Patamon + OO Plotmon + OO	IV 	Blue 		Dinosaur 	Vaccine 	NSp 	A 	420	330	210	(O)Has the ability "underground". (O)When there is a Tyranomon on the opponent's sheet, add 50 to your attack power. 	III20 IV10 P10 U10
Garurumon 	St5	St-234 	St-234 	Gabumon + OO Agumon + OO Plotmon + XX	IV 	Blue 		Beast 	Data 	NSo 	A 	410	350	180	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
Garurumon (1)	St5	St-235 	St-235 	Gabumon + O Agumon + OO Wormmon + XX	IV 	Blue 		Beast 	Data 	NSo 	B 	400	360	200	(O)Has the ability "grappling". (O)When there is a Gururumon on the opponent's sheet, add 50 to your attack power.	III20 IV10 P10 U10
Angemon 	St5	St-236 	St-236 	Patamon + OO Agumon + OO Wormmon + OX	IV 	Blue 		Angel 	Vaccine 	WG 	C 	410	310	210	(O)Has the ability "sky".	III20 IV10 P10 U10
