Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Metal Greymon	Bo1	Bo-1	Bo-1	Greymon + Winning Percentage: 40%! Devimon + Winning Percentage: 40%!	Perfect	Blue		Cyborg	Virus	ME	C	490	440	170	(O)Has the ability "sky".	III30 IV20 P10 U10
Devimon	Bo1	Bo-2	Bo-2	Agumon + O Candmon + XX Pico Devimon + OO	IV	Blue		Fallen Angel	Virus	NSo	C	440	390	210	(O)Has the ability "sky".	III30 IV20 P10 U10
Leomon	Bo1	Bo-3	Bo-3	Piyomon + OO Palmon + OO	IV	Blue		Beast Man	Vaccine	NSp	A	420	390	180	None	III20 IV10 P10 U10
Orgemon	Bo1	Bo-4	Bo-4	Patamon + OO Kunemon + OO	IV	Blue		Oni	Virus	NSo	C	430	390	150	None	III30 IV10 P10 U10
Meramon	Bo1	Bo-5	Bo-5	Agumon + XX Bakumon + O Candmon + O	IV	Blue		Flame	Data	NSo	B	420	350	180	None	III20 IV10 P10 U10
SeadramonB	Bo1	Bo-6	Bo-6	Ganimon + O Shakomon + OO	IV	Blue		Aquatic	Data	DS	B	420	330	220	(O)Has the ability "underwater".	III30 IV10 P10 U10
Yukidarumon	Bo1	Bo-7	Bo-7	Gabumon + XX	IV	Blue		Ice-Snow	Vaccine	NSp	A	440	360	180	None	III20 IV10 P10 U10
Tonosama Gekomon	Bo1	Bo-8	Bo-8	Jogress Evolution Starmon + Kuwagamon Monochromon + Gekomon	Perfect	Blue		Amphibian	Virus	NSp	C	470	430	220	None	III30 IV20 P20 U10
Shellmon	Bo1	Bo-9	Bo-9	Kunemon + O	IV	Blue		Aquatic	Data	DS	B	400	350	180	(O)Has the abilities "underwater" and "underground".	III30 IV20 P10 U10
Drimogemon	Bo1	Bo-10	Bo-10	Kunemon + X	IV	Blue		Beast	Data	NSp	B	420	380	150	(O)Has the ability "underground".	III20 IV10 P10 U10
Andromon	Bo1	Bo-11	Bo-11	Unimon + Winning Percentage: 40%! Orgemon + Winning Percentage: 40%! Shellmon + Winning Percentage: 40%!	Perfect	Blue		Cyborg	Vaccine	ME	A	480	530	150	None	III30 IV20 P20 U10
Monochromon	Bo1	Bo-12	Bo-12	Piyomon + OO Gottsumon + OO	IV	Blue		Ankylosaur	Data	NSp	B	440	360	190	None	III20 IV10 P10 U10
