Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Susanoomon 	Bo19	Bo-925 	Bo-925 	When your Digimon is Susanoomon, show the opponent one 'Ryuugonken', one 'Sniper Phantom', and one 'Strike Phantom' card each from either your hand or slots, and make this card appear from your hand (during battle only). 	Ultimate	Gold		God Man 	Vaccine		B	1080	960	750	(O)Only once during battle, you may send one of the opponent's Demon God Type, Seven Great Demon Lords, or Three Great Angels Digimon to the Dark Area. 	III40 IV40 P40 U30
Renamon 	Bo19	Bo-926 	Bo-926 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Beast Man 	Data	Nso	A	360	300	150	(O)Cannot receive effects that cause the battle to end in a draw. 	III10 IV10 P10 U10
Zanbamon 	Bo19	Bo-927 	Bo-927 	Vajramon + Winning Percentage: 60%! Musyamon + Winning Percentage: 80%! Yaksamon + Winning Percentage: 80%!	Ultimate	Blue		Demon Man 	Virus	Nso	B	730	600	510	(O)During battle, for every Vajramon, Musyamon, or Yaksamon card you discard from your hand, add 300 to your attack power. 	III40 IV30 P20 U10
Huanglongmon 	Bo19	Bo-928 	Bo-928 	When your or your opponent's Digimon belongs to the Four Holy Beasts, make this card appear from your hand (during battle only).	Ultimate	Blue		God Beast 	Data	Nsp Nso WG ME	B	990	830	760	Even if this Digimon loses in battle to a Qinglongmon, Baihumon, Xuanwumon, or Zhuqiaomon, it will not be sent to the Dark Area. 	III40 IV30 P30 U30
Majiramon 	Bo19	Bo-929 	Bo-929 	Fladramon + Winning Percentage: 40%! Greymon + Winning Percentage: 40%!	Perfect	Blue	Deva	Holy Dragon 	Data	WG	A	630	520	330	(O)Has the ability "flame". (O)When the battle ends in a draw, further lower the opponent's points by 10. 	III20 IV20 P10 U10
Mihiramon 	Bo19	Bo-930 	Bo-930 	Lynxmon + Winning Percentage: 40%! Garurumon + Winning Percentage: 40%!	Perfect	Blue	Deva	Holy Beast 	Data	WG	B	600	560	360	(O)Has the ability "grappling". (O)When the battle ends in a draw, further lower the opponent's points by 10.	III20 IV20 P10 U10
Monodramon 	Bo19	Bo-931 	Bo-931 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Small Dragon 	Vaccine	Nsp ME	C	380	280	200	(S)When your points are 60 and below, send this card from your hand and add 280 to the attack power of one of your Digimon belonging to Nature Spirits or Metal Empire. 	III10 IV10 P10 U10
Ulforce V-dramon 	Bo19	Bo-932 	Bo-932 	Aero V-dramon + Winning Percentage: 60%! Dynasmon + Winning Percentage: 60%!	Ultimate	Blue	Royal Knights	Holy Knight 	Vaccine	Nsp WG	A	800	620	510	(O)Has the ability "proud". (O)When facing an opponent that does not have the ability "proud", add 300 to your attack power. 	III40 IV30 P20 U20
XV-mon 	Bo19	Bo-933 	Bo-933 	V-mon + OO Strabimon + OO 	IV	Blue		Mythical Dragon 	Vaccine	Nsp	A	470	430	240	(O)Has the ability "sky". (O)When you win the battle, further reduce the opponent's points by 20. 	III20 IV10 P10 U10
V-dramon 	Bo19	Bo-934 	Bo-934 	V-mon + OO Flamon + OO 	IV	Blue		Mythical Dragon 	Vaccine	Nsp WG	A	480	420	260	(S)When your points are 60 and below, send this card from your hand and add 420 to the attack power of one of your Digimon belonging to Nature Spirits.	III20 IV10 P10 U10
Aero V-dramon 	Bo19	Bo-935 	Bo-935 	V-dramon + Winning Percentage: 40%! XV-mon + Winning Percentage: 40%! Gold V-dramon + Winning Percentage: 40%!	Perfect	Blue		Holy Dragon 	Vaccine	Nsp WG	B	610	530	300	(O)Has the ability "sky". (O)When facing an opponent that does not have the ability "sky", add 200 to your attack power. 	III30 IV30 P20 U10
Shutumon 	Bo19	Bo-936 	Bo-936 	Fairimon + Winning Percentage: 40%! When you win in battle, your opponent takes the Lost Points of a Perfect.	Hybrid	Blue		Bird Man 	Variable (same as the opponent)	WG	B	610	600	380	(O)When there is an Agnimon card on your sheet or in your hand, show it to the opponent and add 200 to your attack power. 	III20 IV20 P20 U10
Ganimon 	Bo19	Bo-937 	Bo-937 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Crustacean 	Data	DS	A	330	300	210	(S)When your points are 80 and below, send this card from your hand and add 300 to the attack power of one of your Digimon belonging to Deep Savers. 	III10 IV10 P10 U10
Blizzarmon 	Bo19	Bo-938 	Bo-938 	Chackmon + Winning Percentage: 40%! When you win in battle, your opponent takes the Lost Points of a Perfect.	Hybrid	Blue		Beast 	Variable (same as the opponent)	DS	A	660	530	400	(O)When there is a Blitzmon card on your sheet or in your hand, show it to the opponent and add 200 to your attack power. 	III20 IV20 P20 U10
Kunemon 	Bo19	Bo-939 	Bo-939 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Larva 	Virus	Nsp	A	360	290	200	Cannot receive the effects of 'Dark Tower'. (O)Has the ability "underground". 	III10 IV10 P10 U10
Snimon 	Bo19	Bo-940 	Bo-940 	Gabumon + OO Kunemon + X Wormmon + OX	IV	Blue		Insect 	Vaccine	VB	A	500	380	240	Cannot receive the effects of 'Dark Tower'. (O)Has the ability "sky". (O)Cannot receive effects that cause the battle to end in a draw. 	III20 IV10 P10 U10
Atlur Kabuterimon 	Bo19	Bo-941 	Bo-941 	Kabuterimon + Winning Percentage: 40%! Blitzmon + Winning Percentage: 40%! Bolgmon + Winning Percentage: 40%!	Perfect	Blue		Insect 	Data	Nsp	C	630	500	420	(O)Has the ability "sky". (O)When facing a Virus attribute Digimon, add 200 to your attack power. 	III30 IV20 P10 U10
Bolgmon 	Bo19	Bo-942 	Bo-942 	Blitzmon + Winning Percentage: 40%! When you win in battle, your opponent takes the Lost Points of a Perfect.	Hybrid	Blue		Cyborg 	Variable (same as the opponent)	ME	A	640	560	430	(O)Has the ability "underground". (O)When facing a Digimon belonging to Metal Empire, add 200 to your attack power. 	III20 IV20 P20 U20
Lilithmon 	Bo19	Bo-943 	Bo-943 	Lady Devimon + Winning Percentage: 60%! Ofanimon + Winning Percentage: 60%! 	Ultimate	Blue	Seven Great Demon Lords	Demon Lord 	Virus	Nso	C	720	640	410	(O)When the opponent has the ability "proud", add 400 to your attack power.	III40 IV30 P20 U10
Fantomon 	Bo19	Bo-944 	Bo-944 	Bakemon + Winning Percentage: 40%! Soulmon + Winning Percentage: 40%! Ponchomon + Winning Percentage: 40%!	Perfect	Blue		Ghost 	Virus	Nso	B	600	580	350	(O)During battle, for every Ghost Type or Undead Type Digimon card you discard from your hand, add 200 to your attack power (3 cards max). 	III30 IV20 P10 U10
Jyureimon 	Bo19	Bo-945 	Bo-945 	Woodmon + Winning Percentage: 40%! Arbormon + Winning Percentage: 40%! Petaldramon + Winning Percentage: 40%! 	Perfect	Blue		Plant 	Virus	WG Nsp	A	650	530	310	(S)Send this card from your hand to your support box and add 400 to the attack power of your Ancient Troiamon or Pinochimon. 	III30 IV20 P20 U10
Woodmon 	Bo19	Bo-946 	Bo-946 	Floramon + O Palmon + OO Alraumon + O	IV	Blue		Plant 	Virus	WG Nsp	C	420	400	330	(S)When your points are 80 and below, send this card from your hand and add 400 to the attack power of one of your Digimon belonging to Wind Guardians. 	III20 IV10 P10 U10
Neo Devimon 	Bo19	Bo-947 	Bo-947 	Devimon + Winning Percentage: 40%! Boogiemon + Winning Percentage: 40%!	Perfect	Blue		Fallen Angel 	Virus	Nso	C	540	480	320	(O)Has the ability "sky". (O)When facing an opponent that does not have the ability "sky", add 200 to your attack power. 	III30 IV20 P10 U10
Devimon 	Bo19	Bo-948 	Bo-948 	Pico Devimon + OO Agumon (Virus) + XX Petit Mamon + X	IV	Blue		Fallen Angel 	Virus	Nso	B	480	440	240	(S)When your points are 60 and below, send this card from your hand and add 440 to the attack power of one of your Digimon belonging to Nightmare Soldiers. 	III20 IV10 P10 U10
Pico Devimon 	Bo19	Bo-949 	Bo-949 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Small Devil 	Virus	Nso	C	340	300	180	(O)Cannot receive effects that cause the battle to end in a draw. 	III10 IV10 P10 U10
Slash Angemon 	Bo19	Bo-950 	Bo-950 	Holy Angemon + Winning Percentage: 60%! Seraphimon + Winning Percentage: 60%!	Ultimate	Blue		Power 	Vaccine	VB	A	710	580	380	(O)During battle, for every Digimon card with the word 'Angel' in its type (including Cherub, Dominion, Ophan, Power, Seraph, Virtue) that you discard from your hand, add 300 to your attack power. 	III40 IV30 P20 U10
Seraphimon 	Bo19	Bo-951 	Bo-951 	Holy Angemon + Winning Percentage: 60%! Jijimon + Winning Percentage: 60%!	Ultimate	Blue	Three Great Angels 	Seraph 	Vaccine	VB	A	770	620	450	(O)When there is a Virus-attribute Digimon on the opponent's sheet, add 300 to the attack power of all Digimon on your sheet (including the attack power modifications provided by support Digimon). 	III40 IV30 P20 U20
Holy Angemon 	Bo19	Bo-952 	Bo-952 	Angemon + Winning Percentage: 40%! Pegasmon + Winning Percentage: 40%! 	Perfect	Blue		Archangel 	Vaccine	VB	B	660	530	350	(O)During battle, for every Digimon card with the word 'Angel' in its type (including Cherub, Dominion, Ophan, Power, Seraph, Virtue) that you discard from your hand, add 200 to your attack power (3 cards max). 	III30 IV20 P20 U10
Angemon 	Bo19	Bo-953 	Bo-953 	Patamon + O Lucemon + OO	IV	Blue		Angel 	Vaccine	VB Nsp	B	460	380	300	When your points are 80 and below, send this card from your hand and add 380 to the attack power of one of your Digimon belonging to Virus Busters. 	III20 IV10 P10 U10
Ofanimon 	Bo19	Bo-954 	Bo-954 	Angewomon + Winning Percentage: 60%! Babamon + Winning Percentage: 60%!	Ultimate	Blue	Three Great Angels 	Ophan 	Vaccine	VB	B	700	580	410	(O)When you lose a battle with a Virus attribute Digimon, you may change your Lost Points to 'III10 IV10 P10 U10'. 	III20 IV20 P20 U10
Angewomon 	Bo19	Bo-955 	Bo-955 	Tailmon + Winning Percentage: 40%! Nefertimon + Winning Percentage: 40%!	Perfect	Blue		Angel 	Vaccine	VB	B	600	510	320	(S)Send this card from your hand to your support box and add 400 to the attack power of your Holydramon or Ofanimon. 	III20 IV20 P10 U10
Unimon 	Bo19	Bo-956 	Bo-956 	Patamon + OO Lucemon + OO	IV	Blue		Mythical Beast 	Vaccine	VB	C	440	420	260	(O)Has the ability "gale". (O)When facing a Digimon belonging to Nightmare Soldiers, add 150 to your attack power. 	III20 IV10 P10 U10
Pidmon 	Bo19	Bo-957 	Bo-957 	Tukaimon + O Patamon + OO Lucemon + OO	IV	Blue		Angel 	Vaccine	WG VB	C	430	400	310	(S)When your points are 80 and below, send this card from your hand and add 400 to the attack power of one of your Digimon belonging to Virus Busters. 	III20 IV10 P10 U10
Cherubimon 	Bo19	Bo-958 	Bo-958 	Andiramon + Winning Percentage: 60%! Cherubimon (Virus) + Winning Percentage: 60%!	Ultimate	Blue	Three Great Angels 	Cherub 	Vaccine	VB	C	720	690	450	A will not go to zero due to the effects of attack C. (O)When facing a Virus attribute Digimon, add 500 to your attack power. 	III40 IV30 P20 U20
Moosemon 	Bo19	Bo-959 	Bo-959 	Hawkmon + OO Elecmon + O Gazimon + X 	IV	Blue		Ancient Beast 	Data	WG	A	440	410	300	(S)When your points are 80 and below, send this card from your hand and add 410 to the attack power of one of your Digimon belonging to Wind Guardians. 	III20 IV10 P10 U10
Pucchiemon 	Bo19	Bo-960 	Bo-960 	Wormmon + OO Petit Mamon + O Tyumon + X 	IV	Blue		Fairy 	Vaccine	Nsp	B	410	370	320	(S)When your points are 60 and below, send this card from your hand and add 370 to the attack power of one of your Digimon belonging to Nature Spirits or Unknown. 	III20 IV10 P10 U10
Betsumon 	Bo19	Bo-961 	Bo-961 	Tailmon + Winning Percentage: 40%! Black Tailmon + Winning Percentage: 40%! Mikemon + Winning Percentage: 40%!	Perfect	Blue		Puppet 	Data	UK	C	880	140	10	(O)Double your final attack power, after taking into account effects and abilities. However, if the opposing player is female, instead of doubling your attack power, divide it by 10. 	III10 IV10 P10 U10
