Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Millenniumon	PROM2	WS-1	Mugendramon + Chimairamon (O)When you have both Mugendramon in the Digimon Box and Chimairamon in your evolution requirements box, you may fuse them.	Ultimate	Blue		Composite	Virus	DA	B	660	620	480	The fusion requirements cannot be ignored. Cannot lose its special abilities. (O)The opponent loses its special abilities.	III40 IV30 P20 U10
Moon=Millenniumon	PROM2	WS-2	The moment your Millenniumon loses a battle, send your Millenniumon card to the Dark Area, make this card appear directly from your hand, and continue the battle.	Ultimate	Blue		Wicked God	Virus	DA	C	380	520	600	Cannot lose its special abilities. (O)Cannot receive the effects of the opponent's Option cards. (O)You may discard one Digimon card belonging to Dark Area from your hand, and triple your attack power (1 card max).	III40 IV30 P30 U20
Zeed Millenniumon	PROM2	WS-3	The moment your Millenniumon loses a battle, send your Millenniumon card to the Dark Area, make this card appear directly from your hand, and continue the battle.	Ultimate	Blue		Wicked God	Virus	DA	C	880	750	660	A will not go to zero due to the effects of attack C. If you win the battle with your A attack, stack the opponent's Digimon (excluding Level III) onto their point gauge instead of sending it to the Dark Area. (O)Cannot receive the effects of the opponent's Option cards.	III40 IV30 P20 U10
The Ultimate Clash!!	PROM2	WS-4	Battle Phase (O)You may only place one of this card in your slots; cannot receive the effects of being 'invalidated' or 'sent to the Dark Area'.		Blue		Program							(O)Send all Field Option cards to the Dark Area. If at least one Field Option card has been sent to the Dark Area due to this effect, add 650 to your attack power. (O)After raising your attack power, the opponent may, for every Digimon card they discard from their hand, add 100 to their attack power (6 cards max). (O)This card can only be used when both your and your opponent's Digimon are Ultimate level. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
The Ultimate Hidden Power!!!	PROM2	Vj-1	Battle Phase		Blue		Program							(O)Add 150 to the attack power of your Digimon with V-dramon or Aero V-dramon as their card name. The Digimon that received the effects of this card is considered to have won the battle if the battle ends in a draw. (O)At the end of the turn during which this card was used, send it to the Dark Area. (O)This card cannot be used when the opponent Digimon's level is lower than yours.	
V-dramon Zero	PROM2	Vj-2	Piyomon + OO Mushmon + OO Agumon + OO	IV	Blue	Ancient Species	Mythical Dragon	Vaccine	WG	A	440	370	210	None	III20 IV10 P10 U10
The Ultimate Power of Super Metal!!!	PROM2	Vj-3	Battle Phase		Blue		Program							(O)Add 150 to the attack power of your Digimon with War Greymon or Metal Garurumon as their card name. The Digimon that received the effects of this card is considered to have won the battle if the battle ends in a draw. (O)At the end of the turn during which this card was used, send it to the Dark Area. (O)This card cannot be used when the opponent Digimon is Level III or Level IV.	
The One Who Inherits the Power of Dragons	PROM2	Vj-4	Battle Phase		Blue		Program							(O)When your Digimon is Dinosaur type, Cyborg type, or Dragon Man type, the opponent's attack becomes B regardless of your battle type. (O)This card cannot be used when your Digimon is Level III. (O)At the end of the battle phase during which this card was used, send it to the Dark Area.	
The Birth of a Brave Shelled Dragon!!	PROM2	Vj-5	Battle Phase (O)Cannot receive the effects of 'Emergency Program Halt!'.		Blue		Program							(O)Only when your Digimon is either XV-mon or Stingmon, you may send one Level IV Digimon card from your hand to the Dark Area, and evolve your Digimon into either the Paildramon or Dinobeemon card in your hand. (O)Send this card to the Dark Area immediately after use.	
The Hidden Power of Digimentals!!	PROM2	Vj-6	Battle Phase (O)You may only place one of this card in your slots.		Blue		Program							(O)When you win the battle on the turn during which you played this card, add 20 to the opponent's lost points. (O)This card can only be used when your Digimon has 'Armor Evolution' in its fusion requirements, and the opponent is a Level III or Level IV Digimon. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Aero V-dramon Zero	PROM2	Vj-7	V-dramon Zero + Winning Percentage: 40%! V-dramon + Winning Percentage: 60%! XV-mon + Winning Percentage: 60%!	Perfect	Blue		Holy Dragon	Vaccine	WG	A	540	460	230	(O)Has the ability "sky". (O)Halve the opponent's final attack power, after taking into account effects and abilities.	III30 IV20 P10 U10
The Flight of a Sharp Hunter!!	PROM2	Vj-8	Battle Phase (O)Cannot receive the effects of 'Emergency Program Halt!'.		Blue		Program							(O)Only when your Digimon is either Aquilamon or Tailmon, you may send one Level IV Digimon card from your hand to the Dark Area, and evolve your Digimon into either the Silphymon or Angewomon card in your hand. (O)Send this card to the Dark Area immediately after use.	
Demon	PROM2	Vj-9	Jogress Evolution Archnemon + Mummymon Dagomon + Winning Percentage: 80%! (O)Can only evolve from Virus attribute Digimon.	Ultimate	Blue		Demon Lord	Virus	Nso	B	600	510	340	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)Reduce the attack power of the opponent's Level III and Level IV Digimon by 300.	III30 IV20 P20 U20
The Advent of a Shining Guardian!!	PROM2	Vj-10	Battle Phase (O)Cannot receive the effects of 'Emergency Program Halt!'.		Blue		Program							(O)Only when your Digimon is either Ankylomon or Angemon, you may send one Level IV Digimon card from your hand to the Dark Area, and evolve your Digimon into either the Shakkoumon or Holy Angemon card in your hand. (O)Send this card to the Dark Area immediately after use.	
Digital Hazard	PROM2	Vj-11	Battle Phase (O)You may only place one of this card in your slots; cannot receive the effects of 'Emergency Program Halt!'.		Blue		Program							(O)Halve the opponent's attack power. If the opponent's attack power has been affected by Option cards or special abilities, halve the attack power after taking them into account. (O)This card can only be used when your Digimon is Virus attribute, and it cannot receive the effects of the card 'The Time Shock!!'. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Omegamon	PROM2	Vj-12	War Greymon (Vaccine) + Metal Garurumon (Data) (O)You may carry out the fusion once the Digimon listed in the fusion requirements are placed in your Digimon box and evolution requirements box respectively. (O)At the end of 3 turns (including the turn during which fusion took place), send this card to the Dark Area.	Ultimate	Blue		Holy Knight	Vaccine	VB	C	750	750	770	The fusion requirements cannot be ignored. Cannot lose its special abilities. (O)The opponent loses its special abilities. (O)A cannot go to zero. (O)Cannot receive the effects of the opponent's Option cards.	III40 IV40 P30 U20
Kuzuhamon	PROM2	Vj-13	Doumon + Winning Percentage: 60%! Taomon + Winning Percentage: 80%!	Ultimate	Blue		God Man	Data	NSo	C	700	590	430	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)Has the abilities "sky" and "flame". (O)You may discard one Digimon card from your hand and double your attack power (1 card max).	III40 IV30 P20 U10
Protect Wall!!	PROM2	Vj-14	Battle Phase (O)Send one Guilmon, Renamon, or Terriermon card from your hand to the Dark Area.		Blue		Program							(O)All special abilities that the opponent Digimon has which states 'When facing Dukemon/Sakuyamon/Saint Galgomon' become invalidated (this effect is not affected by 'Cannot lose its special abilities'). (O)When the opponent has multiple Digimon boxes, this effect applies to all of them. (O)This card can only be used when your Digimon is Ultimate level. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Imperialdramon Paladin Mode	PROM2	Vj-15	Imperialdramon (Vaccine) + Omegamon (O)When you have both Imperialdramon (Vaccine) in the Digimon Box and Omegamon in your evolution requirements box, you may fuse them. When 3 turns have passed since fusion took place, send this card to the Dark Area.	Ultimate	Blue		Ancient Dragon Man	Vaccine	VB	B	970	770	500	Cannot lose its special abilities. A and C will not go to zero due to the effects of the opponent's attack C or A. (O)Has the abilities "sky" and "flame". (O)The opponent loses its special abilities.	III40 IV30 P20 U20
Arkadimon Ultimate	PROM2	Vj-16	When your Digimon is Demon, and the opponent is a Perfect or Ultimate level, make this card appear from your hand (during battle only).	Ultimate	Blue		Bewitching Beast	Virus	DA Nso	C	900	710	540	A will not go to zero due to the effects of attack C. (O)Divide the opponent's final attack power by 10, after taking into account effects and abilities.	III40 IV20 P40 U60
Betsumon	PROM2	Vj-17	Tailmon + Winning Percentage: 40%! Black Tailmon + Winning Percentage: 40%! Mikemon + Winning Percentage: 40%!	Perfect	Blue		Puppet	Virus	UK	C	800	160	50	(O)Quintuple your final attack power, after taking into account effects and abilities. However, if the opposing player is female, halve your attack power instead of quintupling it.	III10 IV10 P10 U10
Future Potential!!	PROM2	Tp-1	Evolution Phase (O)Send this card face-down from your hand or slot to your evolution requirements box. (O)Cannot receive the effects of 'Dark Tower'.		Blue		Program							(O)Ignore the evolution requirements and evolve your Level III Digimon into a Level IV Digimon in your evolution box. After that, add 50 to your attack power until the end of the battle phase of the turn during which the evolution occurred. (O)This card can only be used when your Digimon is Level III.	
Omegamon (1)	PROM2	Tv-1	War Greymon + Fuse Into the Ultimate Digimon! Metal Garurumon + Fuse Into the Ultimate Digimon!	Ultimate	Blue		Holy Knight	Vaccine	ME	B	730	700	550	(O)Has the ability "sky". (O)Can only fuse from the Digimon stated in its evolution requirements field. (O)At the end of the turn, send this card to the Dark Area.	III40 IV40 P30 U20
