Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Apocalymon	Bo4	Bo-163	Metal Seadramon + Pinochimon Mugendramon + Piemon	Ultimate	Blue		Unknown	Unknown	DA	B	600	550	360	(O)Move the Ultimate level Digimon linked together in the fusion requirements into the Digimon box and evolution requirements box respectively, and fuse them.	III40 IV30 P20 U10
Clear Agumon	Bo4	Bo-164	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Puppet	Vaccine	ME	A	370	240	130	None	III10 IV10 P10 U10
Flare Lizamon	Bo4	Bo-165	Agumon + XX Goburimon + X Muchomon + XX	IV	Blue		Flame Dragon	Data	NSp	B	420	380	190	None	III20 IV20 P10 U10
Plotmon	Bo4	Bo-166	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Mammal	Vaccine	NSp	A	360	240	160	(O)Has the ability "underground".	III10 IV10 P10 U10
Goburimon	Bo4	Bo-167	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Oni	Virus	NSo	C	320	260	150	(O)Has the ability "underground".	III10 IV10 P10 U10
Thunderballmon	Bo4	Bo-168	Hagurumon + O Toy Agumon + O	IV	Blue		Mutant	Data	ME	B	460	330	200	None	III20 IV10 P10 U10
Karatuki Numemon	Bo4	Bo-169	Psychemon + O Shakomon + XX	IV	Blue		Crustacean	Virus	NSp	C	380	280	180	(O)Has the ability "underground".	III10 IV10 P10 U10
Muchomon	Bo4	Bo-170	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Bird	Data	DS	B	350	270	140	(O)Has the ability "underwater".	III10 IV10 P10 U10
Snow Goburimon	Bo4	Bo-171	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Oni	Virus	NSp	C	340	240	180	None	III10 IV10 P10 U10
Keramon	Bo4	Bo-172	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Unknown	Unknown	DA	C	390	210	130	None	III10 IV10 P10 U10
Zassoumon	Bo4	Bo-173	Alraumon + XX Elecmon + X Modoki Betamon + O	IV	Blue		Plant	Virus	WG	C	250	170	150	(O)When you win the battle, further reduce the opponent's points by 10.	III10 IV10 P10 U10
Yanmamon	Bo4	Bo-174	Modoki Betamon + XX Alraumon + XX	IV	Blue		Insect	Data	NSp	B	390	360	150	(O)Has the ability "sky".	III20 IV10 P10 U10
Shamamon	Bo4	Bo-175	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Oni	Virus	NSo	C	360	250	140	None	III10 IV10 P10 U10
Goddramon	Bo4	Bo-176	Cyberdramon + Winning Percentage: 60%! Holy Angemon + Winning Percentage: 60%! Master Tyranomon + Winning Percentage: 60%!	Ultimate	Blue		Holy Dragon	Vaccine	WG	A	580	510	320	(O)Has the ability "sky". (O)Regain 30 points when you evolve into this Digimon.	III40 IV30 P30 U10
Sand Yanmamon	Bo4	Bo-177	Betamon + XX Candmon + XX	IV	Blue		Insect	Data	NSp	B	410	340	160	(O)Has the ability "sky".	III20 IV10 P10 U10
Shima Unimon	Bo4	Bo-178	Yuki Agumon + X Clear Agumon + OO	IV	Blue		Mythical Beast	Vaccine	NSp	A	430	350	200	None	III20 IV20 P10 U10
Soulmon	Bo4	Bo-179	Pico Devimon + X Candmon + X	IV	Blue		Ghost	Virus	NSo	C	440	380	200	(O)If you did not win the battle, you may send the opponent's non-Level III Digimon to the Dark Area.	III20 IV10 P10 U10
Rosemon	Bo4	Bo-180	Lilimon + Winning Percentage: 40%! Vermillimon + Winning Percentage: 60%!	Ultimate	Blue		Fairy	Data	WG	B	570	480	280	(O)Has the ability "sky". (O)Regain 30 points when you evolve into this Digimon.	III30 IV30 P20 U10
Master Tyranomon	Bo4	Bo-181	Tyranomon + Winning Percentage: 60%! Dark Tyranomon + Winning Percentage: 60%!	Perfect	Blue		Dinosaur	Vaccine	NSp	A	500	460	260	None	III30 IV20 P20 U10
Dark Lizamon	Bo4	Bo-182	Bakumon + OO Dokunemon + X Shamamon + OO	IV	Blue		Evil Dragon	Virus	NSo	C	440	350	190	(O)Has the ability "underground".	III20 IV20 P10 U10
Hyougamon	Bo4	Bo-183	Yuki Agumon + OO Muchomon + OO Snow Goburimon + OO	IV	Blue		Ice-Snow	Virus	NSo	C	430	380	200	None	III20 IV20 P10 U10
Pidmon	Bo4	Bo-184	Patamon + O Plotmon + O Clear Agumon + XX	IV	Blue		Angel	Vaccine	WG	A	410	370	170	(O)Has the ability "sky".	III20 IV10 P10 U10
Brachimon	Bo4	Bo-185	Jogress Evolution Yanmamon + Sand Yanmamon Geremon + Platinum Scumon Zassoumon + Winning Percentage: 60%!	Perfect	Blue		Plesiosaur	Data	NSp	B	480	440	230	None	III30 IV20 P20 U10
Gigadramon	Bo4	Bo-186	Jogress Evolution Cockatrimon + Akatorimon Airdramon + Winning Percentage: 60%! Flare Lizamon + Winning Percentage: 40%!	Perfect	Blue		Cyborg	Virus	ME	C	510	410	240	(O)Has the ability "sky".	III30 IV20 P20 U10
Orgemon	Bo4	Bo-187	Tukaimon + OO Modoki Betamon + OO	IV	Blue		Oni	Virus	NSo	C	460	390	220	(O)Has the ability "underground".	III30 IV20 P10 U10
Tekkamon	Bo4	Bo-188	Jogress Evolution Igamon + Hyougamon Snimon + Gorimon Tuchidarumon + Winning Percentage: 60%!	Perfect	Blue		Machine	Virus	ME	C	470	390	270	None	III30 IV20 P10 U10
Cyberdramon	Bo4	Bo-189	Jogress Evolution Greymon + Revolmon Ebidramon + Shima Unimon Thunderballmon + Pidmon	Perfect	Blue		Cyborg	Vaccine	ME	A	510	440	230	(O)Has the ability "sky".	III30 IV20 P20 U10
Skull Satamon	Bo4	Bo-190	Jogress Evolution Devimon + Dark Lizamon Musyamon + Soulmon Nise Drimogemon + Karatuki Numemon	Perfect	Blue		Undead	Virus	NSo	C	540	450	190	(O)Has the ability "sky". (O)When the battle ends in a draw, further reduce the opponent's points by 10.	III30 IV20 P20 U10
Were Garurumon	Bo4	Bo-191	Garurumon + Winning Percentage: 40%! Gururumon + Winning Percentage: 60%! Fugamon + Winning Percentage: 60%!	Perfect	Blue		Beast Man	Vaccine	NSo	A	490	460	270	(O)Has the ability "underground".	III40 IV30 P20 U10
Metal Garurumon	Bo4	Bo-192	Jogress Evolution Knightmon + Big Mamemon Were Garurumon + Winning Percentage: 60%! Aero V-dramon + Winning Percentage: 60%!	Ultimate	Blue		Cyborg	Data	ME	B	560	540	300	(O)Has the ability "sky". (O)Regain 30 points when you evolve into this Digimon.	
Millenniumon	Bo4	Bo-193	Mugendramon + Chimairamon	Ultimate	Blue		Composite	Virus	DA	C	590	560	350	(O)If a Mugendramon is in your Digimon Box, you may fuse it with a Chimairamon from the evolution requirements box.	III40 IV30 P20 U20
Garudamon	Bo4	Bo-194	Birdramon + Winning Percentage: 40%! Saberdramon + Winning Percentage: 60%! Airdramon + Winning Percentage: 40%!	Perfect	Blue		Bird Man	Vaccine	WG	A	500	450	220	(O)Has the ability "sky".	III30 IV20 P20 U10
Saber Leomon	Bo4	Bo-195	Panjyamon + Winning Percentage: 60%! Zudomon + Winning Percentage: 60%!	Ultimate	Blue		Ancient Beast	Data	NSp	B	560	520	310	(O)Has the ability "underground". (O)Regain 20 points when you evolve into this Digimon.	III30 IV30 P20 U10
Boltmon	Bo4	Bo-196	Jogress Evolution Death Meramon + Pumpmon Were Garurumon + Perfect Digimon	Ultimate	Blue		Cyborg	Data	NSo	B	570	500	300	(O)Regain 20 points when you evolve into this Digimon.	III40 IV30 P30 U10
Metal Etemon	Bo4	Bo-197	Jogress Evolution Etemon + Perfect Digimon Insekimon + Giromon	Ultimate	Blue		Cyborg	Virus	ME	C	570	520	350	(O)Has the ability "underground". (O)Regain 20 points when you evolve into this Digimon.	III30 IV30 P20 U20
War Greymon	Bo4	Bo-198	Metal Greymon + Winning Percentage: 60%! Metal Tyranomon + Winning Percentage: 60%! Gigadramon + Winning Percentage: 60%!	Ultimate	Blue		Dragon Man	Vaccine	ME	A	580	520	320	(O)Has the ability "sky". (O)Regain 30 points when you evolve into this Digimon.	III40 IV30 P20 U20
Chrysalimon	Bo4	Bo-199	Keramon + OO	IV	Blue		Unknown	Unknown	DA	C	480	330	200	(O)If you did not win the battle, send the opponent's non-Level III Digimon to the Dark Area.	III20 IV10 P10 U10
Herakle Kabuterimon	Bo4	Bo-200	Cyberdramon + Okuwamon Gigadramon + Megadramon Atlur Kabuterimon + Winning Percentage: 60%!	Ultimate	Blue		Insect	Vaccine	NSp	A	550	520	340	(O)Has the ability "sky". (O)Regain 20 points when you evolve into this Digimon.	III40 IV30 P20 U10
Metal Seadramon	Bo4	Bo-201	Jogress Evolution Anomalocarimon + Mega Seadramon Brachimon + Winning Percentage: 60%!	Ultimate	Blue		Cyborg	Data	DS	B	570	500	330	(O)Has the ability "underwater". (O)Regain 20 points when you evolve into this Digimon.	III40 IV30 P30 U10
Pinochimon	Bo4	Bo-202	Jogress Evolution Jyureimon + Gerbemon Tekkamon + Winning Percentage: 60%!	Ultimate	Blue		Puppet	Virus	WG	C	580	480	310	(O)Regain 20 points when you evolve into this Digimon.	III30 IV30 P20 U20
Piemon	Bo4	Bo-203	Jogress Evolution Vamdemon + Fantomon Blue Meramon + Minotaurmon	Ultimate	Blue		Demon Man	Virus	NSo	C	570	510	360	(O)Regain 20 points when you evolve into this Digimon.	III40 IV30 P30 U20
Demon	Bo4	Bo-204	Skull Satamon + Winning Percentage: 60%! Skull Greymon + Winning Percentage: 60%! Garudamon + Winning Percentage: 60%!	Ultimate	Blue		Demon Lord	Virus	NSo	C	580	500	340	(O)Has the ability "sky". (O)Has the ability "underground". (O)Regain 20 points when you evolve into this Digimon.	III30 IV30 P20 U20
D-3	Bo4	Bo-205	Evolution Phase (O)You may only place one of this card in your slots.		Blue		Item							(O)Ignore the evolution requirements and evolve your Level III Digimon into a Level IV Digimon. (O)For the battle phase of the turn during which this card was used, you may use one usable Option card from your hand. (O)At the end of the turn during which this card was used, send this card to the Dark Area together with all the cards in your Option slots.	
Crest of Light	Bo4	Bo-206	Evolution Phase (O)You may only stack up to one card on top of your 'Tag' card.		Blue		Item							(O)This card cannot be used when it is not stacked on top of a 'Tag' Item card placed in your slot. (O)Remove one 'Bad Friends' or 'We're Honor Students' card from your slot, and send all of the cards in the opponent's evolution box to the Dark Area. This card takes effect when the opponent announces evolution. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Digimon Analyzer	Bo4	Bo-207	Preparation Phase (O)You may only place one of this card in your slots.		Blue		Item							(O)For the turn during which this card is used, excluding O or X evolution requirement cards, Net Ocean cards, Dark Area cards, or point gauge cards, turn all of the opponent's face-down cards face-up. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Boost Chip	Bo4	Bo-208	Battle Phase		Blue		Item							(O)When you have 60-40 points left, triple the opponent's lost points. After that, lower your points by 10. (O)This card cannot be used when your Digimon is Level III or Level IV. (O)At the end of the turn during which this card was used, send it to the Dark Area.	
Winning Percentage: 40%!	Bo4	Bo-209	Evolution Phase (O)Send this card face-down from your hand or slot to your Evolution Requirements box.		Blue		Program							(O)Evolve your Digimon into a Digimon of the next level with Winning Percentage: 40%! in its evolution requirements.	
Winning Percentage: 60%!	Bo4	Bo-210	Evolution Phase (O)Send this card face-down from your hand or slot to your Evolution Requirements box.		Blue		Program							(O)Evolve your Digimon into a Digimon of the next level with Winning Percentage: 40%! or Winning Percentage: 60%! in its evolution requirements. After that, choose one card from your hand and send it to the Dark Area.	
