Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Omegamon 	Bo25	Bo-1151 	Bo-1151 	Omegamon (Red Frame) + X-Eraser Agumon + Invisible Connection Gabumon + Invisible Connection	Ultimate	Blue	Royal Knights	Holy Knight 	Vaccine	VB ME	C	800	800	580	The evolution requirements cannot be ignored. (S)Add 580 to the attack power of your red frame Perfect level Digimon. (O)A will not go to zero. (O)When you lose the battle, you can replace this card with an Omegamon (Red Frame) card from your hand and return to the start of the Battle Phase. 	III40 IV30 P30 U20
Andromon 	Bo25	Bo-1152 	Bo-1152 	Sealsdramon + Wizarmon Guardromon + Tankmon Kenkimon + V-dramon	Perfect	Blue		Cyborg 	Vaccine	ME	B	550	500	470	(S)Add 200 to the attack power of your Vaccine attribute Digimon. (O)Send one of the opponent's Support Digimon to the Dark Area (this special ability may be used even when this Digimon is in the support box). 	III20 IV20 P10 U10
Hanumon 	Bo25	Bo-1153 	Bo-1153 	Kokabuterimon + OO Commandramon + OO Lucemon + OOXX	IV	Blue		Beast Man 	Vaccine	VB Nsp	A	460	380	240	(S)Add 150 to the attack power of your non-Level III Digimon. (O)The Digimon in your Digimon box can make their attack A regardless of the opponent's battle type (this special ability may be used even when this Digimon is in the support box). 	III20 IV10 P10 U10
Mushmon 	Bo25	Bo-1154 	Bo-1154 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Plant 	Virus	WG	A	400	310	170	You may add as many of this Digimon into your deck as you like. (S)Add 100 to the attack power of your blue frame Digimon. (O)When you lose the battle, you may reduce your lost points by 10 (min lost points must be 10) for every Mushmon card you discard (this special ability may be used even when this Digimon is in the support box). 	III20 IV10 P10 U10
Silphymon 	Bo25	Bo-1155 	Bo-1155 	Hanumon + Leomon Sealsdramon + Blade Kuwagamon Wizarmon + V-mon	Perfect	Blue		Beast Man 	Data	WG	C	560	450	390	(S)When your points are 60 and below, add 300 to the attack power of your Battle Type C Digimon. (O)The A attack of the Digimon in your Digimon Box will not go to zero (this special ability may be used even when this Digimon is in the support box). 	III20 IV20 P10 U10
Wizarmon 	Bo25	Bo-1156 	Bo-1156 	Pico Devimon + XX Phascomon + XX Liollmon + OO	IV	Blue		Demon Man 	Data	Nso	C	480	380	180	(O)Place a DORUgamon from your hand into your support box, and add 400 to your basic attack power.	III20 IV10 P10 U10
Mummymon 	Bo25	Bo-1157 	Bo-1157 	Devimon + Porcupamon Devimon + Nanimon Blade Kuwagamon + Wizarmon	Perfect	Blue		Undead 	Virus	Nso	C	590	470	480	(S)Add 200 to the attack power of your Virus attribute Digimon. (O)Send one of the opponent's Support Digimon to the Dark Area (this special ability may be used even when this Digimon is in the support box). 	III20 IV20 P10 U10
Tyranomon 	Bo25	Bo-1158 	Bo-1158 	Agumon + O V-mon + O Guilmon + O 	IV	Blue		Dinosaur 	Data	Nsp ME UK	C	470	400	240	(S)Add 150 to the attack power of your non-Level III Digimon. (O)The Digimon in your Digimon box can make their attack C regardless of the opponent's battle type (this special ability may be used even when this Digimon is in the support box). 	III20 IV10 P10 U10
Monochromon 	Bo25	Bo-1159 	Bo-1159 	Commandramon + O Mushmon + O Terriermon + O	IV	Blue		Ankylosaur 	Data	Nsp	C	480	400	220	Cannot lose its special abilities. A will not go to zero. (O)During battle, you may invalidate one of the opponent's Program Option cards before it takes effect. 	III20 IV20 P10 U10
Pteranomon 	Bo25	Bo-1160 	Bo-1160 	Piyomon + O Kokuwamon + OO Patamon + OO	IV	Blue		Pterosaur 	Data	WG Nsp	B	430	340	260	(S)Add 150 to the attack power of your non-Level III Digimon. (O)The Digimon in your Digimon box can make their attack B regardless of the opponent's battle type (this special ability may be used even when this Digimon is in the support box).	III20 IV10 P10 U10
Blossomon 	Bo25	Bo-1161 	Bo-1161 	Pteranomon + Kuwagamon Blade Kuwagamon + Winning Percentage: 40%! Togemon + Winning Percentage: 40%!	Perfect	Blue		Plant 	Data	WG	A	510	450	400	(S)When your points are 60 and below, add 100 to the attack power of your Perfect or Ultimate level Digimon. (O)During battle, the opponent loses its special abilities (this special ability may be used even when this Digimon is in the support box). 	III30 IV30 P20 U20
Leomon 	Bo25	Bo-1162 	Bo-1162 	Liollmon + O Agumon + OO Terriermon + OO 	IV	Blue		Beast Man 	Vaccine	Nsp	B	680	570	480	(O)When this Digimon is sent to the Dark Area, if you are unable to discard one 'X-Antibody' card from your hand, stack this card onto your point gauge instead of sending it to the Dark Area. 	III20 IV20 P10 U10
