Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Beezlebumon Blast Mode 	Bo22	Bo-1058 	Bo-1058 	Impmon + Lord of the Magic Dashing Bullets Beelzebumon + Lord of the Magic Dashing Bullets (O)This card is sent to the Dark Area at the end of the turn.	Ultimate	Gold		Demon Lord 	Virus	DA Nso	A	910	720	550	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)When you evolve from Beelzebumon, triple your attack power until the turn ends. 	III50 IV50 P40 U30
Impmon 	Bo22	Bo-1059 	Bo-1059 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Small Devil 	Virus	Nso	C	340	310	100	Cannot receive the effects of Particle Worm No. 2. (O)During battle, the opponent's Impmon (Blue Frame) cannot use blue frame Program Option cards. 	III10 IV20 P10 U10
Beezlebumon 	Bo22	Bo-1060 	Bo-1060 	Impmon + Lord of the Magic Dashing Bullets Skull Satamon + Winning Percentage: 80%! 	Ultimate	Blue	Seven Great Demon Lords	Demon Lord 	Virus	Nso ME	B	710	620	440	The evolution requirements cannot be ignored. A will not go to zero. (O)Has the abilities "gale" and "flame". (O)For every Virus attribute Digimon card you discard from your hand, add 200 to your attack power. 	III40 IV30 P20 U20
Skull Satamon 	Bo22	Bo-1061 	Bo-1061 	Meramon + Winning Percentage: 40%! Black Growmon + Winning Percentage: 40%! Stingmon + Winning Percentage: 40%! 	Perfect	Blue		Undead 	Virus	Nso	B	570	430	310	(O)During battle, when you have a Demon Lord type Digimon in your support box, you may send up to four of the cards in the opponent's hand to the Dark Area without checking them. 	III30 IV20 P10 U10
Black Growmon 	Bo22	Bo-1062 	Bo-1062 	Guilmon (Blue Frame) + OO Impmon + X V-mon + XX 	IV	Blue		Demon Dragon 	Virus	Nso DA	A	460	390	190	(O)When the battle ends in a draw due to the effects of the opponent's special abilities or Option cards, you can choose not to reduce your points. 	III20 IV10 P10 U10
Black Megalo Growmon 	Bo22	Bo-1063 	Bo-1063 	Black Growmon + Winning Percentage: 40%! Meramon + Winning Percentage: 40%! Orgemon + Winning Percentage: 40%!	Perfect	Blue		Cyborg 	Virus	ME	B	590	460	380	(O)Has the abilities "underground" and "grappling". (O)During battle, when the opponent's Digimon Box contains a blue frame Option card, immediately reduce the opponent's points by 30. 	III30 IV20 P10 U10
Leviamon 	Bo22	Bo-1064 	Bo-1064 	Marin Devimon + Winning Percentage: 80%! Hangyomon + Winning Percentage: 80%! (O)This card is sent to the Dark Area at the end of the turn.	Ultimate	Blue	Seven Great Demon Lords	Demon Lord 	Virus	DA DS	A	1040	920	840	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)All Option cards and support abilities cannot be used, including those already in effect. (O)Cannot receive the effects of the opponent's Option cards. 	III60 IV50 P40 U30
Bastemon 	Bo22	Bo-1065 	Bo-1065 	Meramon + Youkomon Orcamon + Owlmon Witchmon + Winning Percentage: 40%!	Perfect	Blue		Beast Man 	Virus	Nso	C	520	470	350	(O)During battle, when you have a Demon Lord type Digimon in your support box, you may send one Digimon on the opponent's sheet to the Dark Area. 	III30 IV20 P10 U10
Meramon 	Bo22	Bo-1066 	Bo-1066 	Agumon (Blue Frame) + XX V-mon + XX Wormmon + X 	IV	Blue		Flame 	Vaccine	Nsp	B	450	370	220	(S)When your points are 60 and below, add 370 to the attack power of your Nature Spirits or Vaccine attribute Digimon. (O)Has the ability "flame". 	III20 IV10 P10 U10
Death Meramon 	Bo22	Bo-1067 	Bo-1067 	Meramon + Winning Percentage: 40%! Yaksamon + Winning Percentage: 40%! Gorimon + Winning Percentage: 40%!	Perfect	Blue		Flame 	Data	Nso	A	550	430	360	(O)During battle, when you have a Demon Lord type Digimon in your support box, regain 10 points. 	III30 IV20 P10 U10
Barbamon 	Bo22	Bo-1068 	Bo-1068 	Kyukimon + Winning Percentage: 60%! Bastemon + Winning Percentage: 60%! Death Meramon + Winning Percentage: 60%!	Ultimate	Blue	Seven Great Demon Lords	Demon Lord 	Virus	DA Nso	C	720	530	480	Cannot receive the effects of Particle Worm No. 2. (O)Has the abilities "gale" and "grappling". (O)During your evolution phase, when the number of cards in your Net Ocean reaches zero, you may shuffle your Dark Area and return it to your Net Ocean. 	III40 IV30 P20 U10
Demon 	Bo22	Bo-1069 	Bo-1069 	Skull Satamon + Winning Percentage: 60%! Death Meramon + Winning Percentage: 60%! Phelesmon + Winning Percentage: 60%!	Ultimate	Blue	Seven Great Demon Lords	Demon Lord 	Virus	Nso UK	B	680	500	410	Cannot receive the effects of Particle Worm No. 2. (O)Has the abilities "sky" and "grappling". (O)During your evolution phase, when the number of cards in your Net Ocean reaches zero, send all cards in the opponent's slots to the Dark Area. 	III40 IV30 P20 U10
Mephismon 	Bo22	Bo-1070 	Bo-1070 	Meramon + Winning Percentage: 40%! Black Growmon + Winning Percentage: 40%! Orgemon + Winning Percentage: 40%!	Perfect	Blue		Fallen Angel 	Virus	DA Nso	C	580	500	340	(S)When your points are 60 and below, add 430 to the attack power of your Dark Area or Nightmare Soldiers Digimon. (O)Has the abilities "sky" and "flame". 	III30 IV20 P10 U10
Gulfmon 	Bo22	Bo-1071 	Bo-1071 	Mephismon + Winning Percentage: 60%! Skull Satamon + Winning Percentage: 60%! Doumon + Winning Percentage: 60%!	Ultimate	Blue		Demon Beast 	Virus	DA Nso	C	720	600	430	(O)During battle, you may reduce your points by 10 and add 300 to your attack power (2 times max). 	III40 IV30 P20 U20
Kyukimon 	Bo22	Bo-1072 	Bo-1072 	Youkomon + Winning Percentage: 40%! Yaksamon + Winning Percentage: 40%! Shurimon + Winning Percentage: 40%! 	Perfect	Blue		Bewitching Beast 	Virus	Nso UK	A	600	500	370	(S)When your points are 60 and below, add 410 to the attack power of your Unknown or Nightmare Soldiers Digimon. (O)Has the abilities "gale" and "grappling". 	III30 IV20 P10 U10
