Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
V-mon 	St3	St-112 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Small Dragon 	Vaccine 	NSp 	A 	370	220	160	None	III10 IV10 P10 U10
XV-mon 	St3	St-113 	V-mon + O Agumon + OO Gabumon + OO	IV 	Blue 		Mythical Dragon 	Vaccine 	NSp 	A 	450	400	240	(O)Has the ability "sky". (O)When facing an Insect type Digimon, add 30 to your attack power. 	III20 IV20 P10 U10
Wormmon 	St3	St-114 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Larva 	Virus 	NSp 	C 	350	260	150	(O)Has the ability "underground".	III10 IV10 P10 U10
Stingmon 	St3	St-115 	Wormmon + O Agumon + X Plotmon + XX	IV 	Blue 		Insect 	Virus 	NSp 	C 	440	420	220	(O)Has the ability "sky". (O)When facing a Dinosaur type Digimon, add 50 to your attack power. 	III20 IV20 P10 U10
Hawkmon 	St3	St-116 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Bird 	Data 	WG 	B 	360	240	140	(O)Has the ability "sky".	III10 IV10 P10 U10
Armadimon 	St3	St-117 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Mammal 	Vaccine 	NSp 	A 	320	240	160	(O)Has the ability "underground".	III10 IV10 P10 U10
Patamon 	St3	St-118 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Mammal 	Vaccine 	WG 	A 	350	230	160	(O)Has the ability "sky".	III10 IV10 P10 U10
Plotmon 	St3	St-119 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Mammal 	Vaccine 	NSp 	B 	370	240	150	(O)Has the ability "underground".	III10 IV10 P10 U10
Lighdramon 	St3	St-120 	Armor Evolution V-mon + Digimental of Friendship	IV 	Blue 		Beast 	Vaccine 	NSp 	A 	440	430	250	(O)Has the ability "underground". (O)If you lose the battle, you may discard your entire hand and send the opponent's non-Level III Digimon to the Dark Area. 	III30 IV20 P20 U20
V-dramon 	St3	St-121 	V-mon + O Patamon + O Plotmon + X	IV 	Blue 		Mythical Dragon 	Vaccine 	WG 	A 	460	390	260	(O)When facing a Machine Type Digimon, add 30 to your attack power.	III30 IV20 P10 U10
Fladramon 	St3	St-122 	Armor Evolution V-mon + Digimental of Courage	IV 	Blue 		Dragon Man 	Vaccine 	NSp 	A 	480	400	200	(O)Halve the opponent's final attack power, after taking into account effects and special abilities.	III30 IV20 P20 U10
Holsmon 	St3	St-123 	Armor Evolution Hawkmon + Digimental of Love	IV 	Blue 		Bird 	Data 	NSp 	B 	470	390	210	(O)Has the ability "sky". (O)If you lose the battle, you may discard your entire hand and send the opponent's non-Level III Digimon to the Dark Area. 	III30 IV20 P20 U20
Shurimon 	St3	St-124 	Armor Evolution Hawkmon + Digimental of Purity	IV 	Blue 		Mutant 	Data 	WG 	B 	460	440	220	(O)Has the ability "sky". (O)If you lose the battle, you may discard your entire hand and send the opponent's non-Level III Digimon to the Dark Area. 	III30 IV20 P20 U20
Yaksamon 	St3	St-125 	Armor Evolution V-mon + Digimental of Purity	IV 	Blue 		Demon Man 	Vaccine 	NSp 	A 	500	390	220	(O)If you lose the battle, you may discard your entire hand and send the opponent's non-Level III Digimon to the Dark Area.	III30 IV20 P20 U20
Submarimon 	St3	St-126 	Armor Evolution Armadimon + Digimental of Sincerity	IV 	Blue 		Aquatic 	Vaccine 	DS 	B 	440	440	260	(O)Has the ability "underwater". (O)Halve the opponent's final attack power, after taking into account effects and special abilities. 	III30 IV20 P20 U10
Pegasmon 	St3	St-127 	Armor Evolution Patamon + Digimental of Hope	IV 	Blue 		Holy Beast 	Vaccine 	WG 	A 	450	370	200	(O)Has the ability "sky". (O)Halve the opponent's final attack power, after taking into account effects and special abilities. 	III30 IV20 P20 U10
Angemon 	St3	St-128 	Patamon + O Hawkmon + O (O)Cannot evolve from Virus attribute Digimon.	IV 	Blue 		Angel 	Vaccine 	WG 	C 	420	370	190	(O)Has the ability "sky". (O)If you lose the battle, choose one face-down card in the opponent's slots and send it to the Dark Area. 	III20 IV20 P10 U10
Holy Angemon 	St3	St-129 	Angemon + Winning Percentage: 40%! Pegasmon + Winning Percentage: 40%! (O)Cannot evolve from Virus attribute Digimon.	Perfect 	Blue 		Archangel 	Vaccine 	WG 	C 	480	440	280	(O)Has the ability "sky". (O)When facing a Virus attribute Digimon of a lower level than Ultimate, add 80 to your attack power. 	III30 IV30 P10 U10
Tailmon 	St3	St-130 	Plotmon + O V-mon + O Toy Agumon + OO (O)Cannot evolve from Virus attribute Digimon.	IV 	Blue 		Holy Beast 	Vaccine 	NSp 	B 	410	350	180	(O)When facing a Small Demon type Digimon, add 50 to your attack power.	III20 IV10 P10 U10
Nefertimon 	St3	St-131 	Armor Evolution Tailmon + Digimental of Light 	IV 	Blue 		Holy Beast 	Vaccine 	NSp 	A 	490	440	250	(O)Has the ability "sky". (O)When Tailmon is in the Digimon Box and the Digimental of Light is in the Evolution Requirements Box, you may fuse them into this Digimon. 	III20 IV20 P10 U10
Togemogumon 	St3	St-132 	Armor Evolution Wormmon + Digimental of Friendship	IV 	Blue 		Mammal 	Virus 	NSp 	C 	460	440	230	(O)Has the ability "underground". (O)If you lose the battle, you may discard your entire hand and send the opponent's non-Level III Digimon to the Dark Area. 	III30 IV20 P20 U20
Digmon 	St3	St-133 	Armor Evolution Armadimon + Digimental of Knowledge	IV 	Blue 		Insect 	Vaccine 	NSp 	A 	450	430	250	(O)Has the ability "underground". (O)Halve the opponent's final attack power, after taking into account effects and special abilities. 	III30 IV20 P20 U10
Owlmon 	St3	St-134 	Armor Evolution Wormmon + Digimental of Love	IV 	Blue 		Bird 	Virus 	NSp 	C 	460	420	200	(O)Has the ability "sky". (O)If you lose the battle, you may discard your entire hand and send the opponent's non-Level III Digimon to the Dark Area. 	III30 IV20 P20 U20
Shadramon 	St3	St-135 	Armor Evolution Wormmon + Digimental of Courage	IV 	Blue 		Insect 	Virus 	NSp 	B 	500	400	250	(O)Has the ability "sky". (O)Halve the opponent's final attack power, after taking into account effects and special abilities. 	III30 IV20 P20 U10
Agumon 	St3	St-136 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Reptile 	Virus 	NSp 	C 	370	210	130	None	III10 IV10 P10 U10
Greymon 	St3	St-137 	Agumon + X Hawkmon + X (O)Cannot evolve from Vaccine attribute Digimon.	IV 	Blue 		Dinosaur 	Virus 	NSp 	C 	460	380	180	(O)Only once during battle, you may discard one card from your hand and invalidate one of the opponent's Program Option cards before it takes effect.	III30 IV20 P10 U10
Metal Greymon 	St3	St-138 	Jogress Evolution Holsmon + Togemogumon Greymon + Winning Percentage: 40%! (O)Cannot evolve from Vaccine attribute Digimon	Perfect 	Blue 		Cyborg 	Virus 	NSp 	C 	510	450	220	(O)Has the ability "sky". (O)For every Digimon card you discard from your hand, add 30 to your attack power. 	III30 IV20 P20 U10
Gabumon 	St3	St-139 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Reptile 	Virus 	NSp 	C 	360	250	140	None	III10 IV10 P10 U10
Garurumon 	St3	St-140 	Gabumon + X Toy Agumon + X (O)Cannot evolve from a Vaccine attribute Digimon.	IV 	Blue 		Beast 	Virus 	NSo 	C 	440	400	200	(O)Only once during battle, you may discard one card from your hand and invalidate one of the opponent's Program Option cards before it takes effect.	III30 IV20 P10 U10
Were Garurumon 	St3	St-141 	Jogress Evolution Shadramon + Owlmon Garurumon + Winning Percentage: 40%! (O)Cannot evolve from Vaccine attribute Digimon.	Perfect 	Blue 		Beast Man 	Virus 	NSo 	C 	500	480	280	(O)Has the ability "underground". (O)For every Digimon card you discard from your hand, add 30 to your attack power. 	III40 IV30 P10 U10
