Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Susanoomon 	Bo18	Bo-864 	Bo-864 	Kaiser Greymon + Ruler of Destruction and Regeneration Magna Garurumon + Ruler of Destruction and Regeneration (O)At the end of the turn during which fusion took place, send this card to the Dark Area.	Ultimate	Gold		God Man 	Vaccine		A	1000	820	700	The fusion requirements cannot be ignored. Only twice during battle, you may send one of the opponent's Level IV, Perfect level, Hybrid level, or D-Reaper cards to the Dark Area (including support Digimon). 	III40 IV40 P30 U30
Kotemon 	Bo18	Bo-865 	Bo-865 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Reptile 	Data	Nsp	A	380	220	190	(S)When your points are 70 and below, send this card from your hand to your support box and add 220 to the attack power of one of your Ultimate level Digimon. 	III10 IV10 P10 U10
Musyamon 	Bo18	Bo-866 	Bo-866 	Kotemon + OO Kunemon + O Goburimon + X	IV	Blue		Demon Man 	Virus	UK	B	480	380	270	(O)When the opponent is a Level IV or Hybrid level, add 200 to your attack power (excluding Digimon belonging to Unknown). 	III20 IV20 P10 U10
Yaksamon 	Bo18	Bo-867 	Bo-867 	V-mon + OO Kotemon + O Snow Goburimon + X	IV	Blue		Demon Man 	Vaccine	UK	C	500	360	220	(O)When the opponent is a Level IV or Hybrid level, add 200 to your attack power (excluding Digimon belonging to Unknown). 	III20 IV20 P10 U10
Asuramon 	Bo18	Bo-868 	Bo-868 	Orgemon + Winning Percentage: 40%! Yaksamon + Winning Percentage: 40%! Musyamon + Winning Percentage: 40%!	Perfect	Blue		Demon Man 	Vaccine	UK	B	540	500	280	(O)When the opponent is a Perfect level, add 200 to your attack power (excluding Digimon with the ability "grappling"). 	III30 IV10 P10 U10
Zanbamon 	Bo18	Bo-869 	Bo-869 	Asuramon + Winning Percentage: 60%! Dinobeemon + Winning Percentage: 60%! Vajramon + Winning Percentage: 40%!	Ultimate	Blue		Demon Man 	Virus	UK	B	670	510	400	(O)When the opponent is an Ultimate level or Hybrid level, add 300 to your attack power (excluding Digimon belonging to Unknown). 	III40 IV30 P20 U20
Raihimon 	Bo18	Bo-870 	Bo-870 	Jogress Evolution Lowemon + Kaiser Leomon When you win in battle, your opponent takes the Lost Points of an Ultimate.	Hybrid	Blue	Fusion Form	Warrior 	Variable (same as the opponent)		C	760	630	600	A or C will not go to zero due to the effects of attack C or A. For every Digimon card you discard from your hand, add 200 to your attack power. (O)The opponent loses its special abilities. 	III40 IV20 P20 U10
Makuramon 	Bo18	Bo-871 	Bo-871 	Opossummon + Winning Percentage: 40%! Turuiemon + Winning Percentage: 40%! Swanmon + Winning Percentage: 40%!	Perfect	Blue	Deva	Holy Beast 	Data	UK	A	600	410	330	(O)When the opponent is a Perfect or Hybrid level, add 200 to your attack power (excluding Digimon belonging to Unknown). 	III30 IV20 P20 U10
Indaramon 	Bo18	Bo-872 	Bo-872 	Sagittarimon + Winning Percentage: 40%! Pegasmon + Winning Percentage: 40%! Unimon + Winning Percentage: 40%! 	Perfect	Blue	Deva	Holy Beast 	Virus 	UK	B	600	400	360	(O)When the opponent is a Perfect or Hybrid level, add 200 to your attack power (excluding Digimon belonging to Unknown). 	III30 IV20 P20 U10
Cannondramon 	Bo18	Bo-873 	Bo-873 	Brachimon + Winning Percentage: 60%! Assaultmon + Winning Percentage: 60%! Metal Tyranomon + Winning Percentage: 60%! 	Ultimate	Blue		Cyborg 	Data	ME	B	700	570	540	(O)During battle, you may send any number of the opponent's support Digimon to the Dark Area. 	III40 IV30 P20 U20
Lopmon 	Bo18	Bo-874 	Bo-874 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Beast 	Data	Nsp	A	330	250	190	(S)When your points are 70 and below, send this card from your hand to your support box and add 250 to the attack power of one of your Ultimate level Digimon. 	III10 IV10 P10 U10
Turuiemon 	Bo18	Bo-875 	Bo-875 	Lopmon + OO Gizamon + X Gabumon + OX	IV	Blue		Beast Man 	Data	UK	B	440	360	260	(O)When the opponent is Level IV, add 200 to your attack power (excluding Digimon belonging to Unknown). 	III20 IV10 P10 U10
Igamon 	Bo18	Bo-876 	Bo-876 	Agumon + OO Goburimon + O Koemon + O	IV	Blue		Mutant 	Vaccine	UK	B	500	320	280	(S)When your points are 80 and below, send this card from your hand to your support box, and the opponent's Level IV Digimon loses their special abilities. 	III20 IV10 P10 U10
Kougamon 	Bo18	Bo-877 	Bo-877 	Koemon + O Shamamon + X Tyumon + X	IV	Blue		Mutant 	Data	UK	A	320	500	300	(S)When your points are 80 and below, send this card from your hand to your support box, and the opponent's Level IV Digimon loses their special abilities. 	III20 IV10 P10 U10
Pile Volcamon 	Bo18	Bo-878 	Bo-878 	Volcamon + Digimental of Friendship (O)Send the 'Digimental of Friendship' card face-down from your hand or slot to your evolution requirements box (ignore the effects of the card).	Perfect	Blue		Cyborg 	Data	ME	B	700	620	600	The evolution requirements cannot be ignored. A and C will not go to zero due to the effects of attacks C or A. When facing a Digimon with 'The opponent loses its special abilities' in their abilities box, triple your attack power. (O)Has the abilities "grappling" and "flame".	III30 IV30 P20 U10
