Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Vritramon	Bo15	Bo-703	Bo-703	Spirit Evolution/Perfect Digimon + Spirit of Fire B/(O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue		Demon Dragon	Variable (same as the opponent)		A	680	570	490	When your hand contains four cards, double your attack power. When your hand contains two cards, triple your attack power. When your hand contains zero cards, quadruple your attack power. When your hand contains three cards or one card, halve your attack power. 	III40 IV30 P20 U30
Bearmon	Bo15	Bo-704	Bo-704	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Beast	Vaccine	NSp	A	370	270	150	(S) When your points are 60 and below, you may send this card from your hand to the support box of a Hybrid level Digimon. After that, add 270 to the attack power of the supported Hybrid level. 	III20 IV10 P10 U10
Kotemon	Bo15	Bo-705	Bo-705	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Reptile	Data	NSp	B	380	240	160	(S)When your points are 60 and below, you may send this card from your hand to the support box of a Hybrid level Digimon. After that, add 240 to the attack power of the supported Hybrid level. 	III20 IV10 P10 U10
Koemon	Bo15	Bo-706	Bo-706	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Beast	Virus	NSp	C	360	250	210	(S)When your points are 60 and below, you may send this card from your hand to the support box of a Hybrid level Digimon. After that, add 250 to the attack power of the supported Hybrid level. 	III20 IV10 P10 U10
Bolgmon	Bo15	Bo-707	Bo-707	Spirit Evolution/Perfect Digimon + Spirit of Thunder B/(O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue		Cyborg	Variable (same as the opponent)		A	610	510	600	You may ignore the effects of your Spirit and set the 'Miracle Ruby' card into slot 3. While you may utilise its effects without lowering your points, you may only activate the card when your hand contains four cards or less. 	III40 IV30 P20 U30
Fladramon	Bo15	Bo-708	Bo-708	Armor Evolution/Level IV Digimon with the ability "flame" + Digimental of Courage/Agnimon + Digimental of Courage 	IV	Blue		Dragon Man	Vaccine	NSp	C	580	310	180	(O)At the start of the battle, you may draw one card from the opponent's hand, and send it to the Dark Area without checking its contents.	III30 IV20 P20 U10
Gargomon	Bo15	Bo-709	Bo-709	Armor Evolution/Level IV Digimon with the ability "sky" + Digimental of Light/Wolfmon + Digimental of Light 	IV	Blue		Demon Beast	Virus	Nso	A	310	520	150	(O)At the start of the battle, you may draw one card from the opponent's hand, and send it to the Dark Area without checking its contents. 	III30 IV20 P20 U10
Togemogumon	Bo15	Bo-710	Bo-710	Armor Evolution/Level IV Digimon with the ability "underground" + Digimental of Friendship/Chackmon + Digimental of Friendship 	IV	Blue		Mammal	Virus	NSp	B	350	300	500	(S)You may send this card from your hand to the support box of a Hybrid level Digimon, and send one of the opponent's support Digimon to the Dark Area. (This card can be specially placed in the support box of a Hybrid level) 	III30 IV20 P20 U10
Shurimon	Bo15	Bo-711	Bo-711	Armor Evolution/Level IV Digimon with the ability "grappling" + Digimental of Purity/Fairimon + Digimental of Purity 	IV	Blue		Mutant	Data	WG	C	530	430	130	(S) You may send this card from your hand to the support box of a Hybrid level Digimon, and send one of the opponent's support Digimon to the Dark Area. (This card can be specially placed in the support box of a Hybrid level)	III30 IV20 P20 U10
Shutumon	Bo15	Bo-712	Bo-712	Spirit Evolution/Level IV Digimon + Spirit of Wind B/(O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue		Birdman	Variable (same as the opponent)		B	520	490	400	When your hand contains 2-4 cards, only once, you may halve the attack power of one of the Digimon on the opponent's sheet. 	III30 IV20 P20 U20
