Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Aldamon 	St12	St-760 	Jogress EvolutionVritramon + Agnimon When you win the battle, your opponent takes the lost points of an Ultimate.	Hybrid	Blue 	Fusion Form	Demon Man 	Variable (same as the opponent)		B	750	640	600	For every Digimon card you discard from your hand, add 200 to your attack power. (O)The opponent loses its special abilities. 	III40 IV20 P20 U10
Flamon 	St12	St-761 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Demon Man 	Variable (same as the opponent)		A	400	270	130	Cannot receive the effects of "Dark Tower". (O)Has the abilites "flame" and "hungry". 	III10 IV10 P10 U10
Agnimon 	St12	St-762 	Flamon + OO When you win the battle, your opponent takes the lost points of a Level IV.	Hybrid	Blue 		Demon Man 	Variable (same as the opponent)	Nsp	C	570	560	440	(S)You may send this card from your hand to the support box of a Hybrid level. After that, add 560 to the attack power of the supported Hybrid level.	III20 IV20 P20 U10
Vritramon 	St12	St-763 	Agnimon + Winning Percentage: 40%! Fairimon + Winning Percentage: 40%! When you win the battle, your opponent takes the lost points of a Perfect.	Hybrid	Blue 		Demon Dragon 	Variable (same as the opponent)	Nsp	B	670	600	500	(S)You may send this card from your hand to the support box of a Hybrid level. After that, add 600 to the attack power of the supported Hybrid level.	III30 IV20 P20 U20
Megidramon 	St12	St-764 	Jogress Evolution Skull Satamon + Sandiramon Metal Tyranomon + Winning Percentage: 60%! Assaultmon + Winning Percentage: 60%!	Ultimate	Blue 		Evil Dragon 	Virus	Nso	A	700	680	490	(O)When facing a Data attribute Digimon, double your attack power. (O)Cannot receive the effects of the opponent's Option cards. 	III40 IV30 P20 U20
Strikedramon 	St12	St-765 	Turuiemon + OO Flamon + O Strabimon + X	IV	Blue 		Dragon Man 	Vaccine	Nsp	B	490	320	240	(S)When your points are 80 and below, you may send this card from your hand to the support box of a Hybrid level. After that, add 320 to the attack power of the supported Hybrid level.	III20 IV10 P10 U10
Cyberdramon 	St12	St-766 	Jogress Evolution Black Galgomon + Searchmon Chrysalimon + Gryzmon Strikedramon + Winning Percentage: 40%!	Perfect	Blue 		Cyborg 	Vaccine	Nsp	C	580	500	390	A will not go to zero due to the effects of attack C. (O)When facing a Vaccine attribute Digimon, add 200 to your attack power. 	III30 IV20 P10 U10
Metal Tyranomon 	St12	St-767 	Flare Lizamon + Winning Percentage: 40%! Yaksamon + Winning Percentage: 40%! Agnimon + Winning Percentage: 40%!	Perfect	Blue 		Cyborg 	Virus	ME	B	590	470	380	(O)When facing a Digimon with 'Black' in its name, double your attack power.	III30 IV20 P10 U10
XV-mon 	St12	St-768 	V-mon + OO Flamon + OMushmon + X	IV	Blue 		Mythical Beast 	Virus	Nsp	A	470	400	270	(S)When your points are 60 and below, take this card from your hand and add 400 to the attack power of one of your Digimon belonging to Wind Guardians or Nature Spirits.	III20 IV10 P10 U10
Stingmon 	St12	St-769 	Wormmon + OO Floramon + X Mushmon + X	IV	Blue 		Insect 	Data	Nsp	B	450	430	260	(S)When your points are 70 and below, take this card from your hand and add 430 to the attack power of one of your Digimon belonging to Wind Guardians or Nature Spirits.	III20 IV10 P10 U10
