Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Imperialdramon Fighter Mode	Bo8	Bo-357	Bo-357	During battle, when the opponent is a non-Level III, send your Imperialdramon (Vaccine attribute) from your Digimon box to the Dark Area, make this card appear directly from your hand, and resume the battle.	Ultimate	Blue		Ancient Dragon Man	Vaccine	ME	A	700	600	410	Cannot lose its special abilities. (O)The opponent loses its special abilities. (O)A cannot go to zero; you may discard one Omegamon card from your hand and triple your attack power (1 card max).	III30 IV30 P30 U20
V-mon	Bo8	Bo-358	Bo-358	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Small Dragon	Vaccine	NSp	C	350	200	130	(O)During your Preparation Phase, you may discard two Level III Digimon cards from your hand, and invalidate one currently active Item Option card.	III10 IV20 P10 U10
Wormmon	Bo8	Bo-359	Bo-359	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Larva	Virus	NSp	A	330	220	140	(O)During your Preparation Phase, you may discard two Level III Digimon cards from your hand, and invalidate one currently active Field Option card.	III10 IV20 P10 U10
Plotmon	Bo8	Bo-360	Bo-360	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Mammal	Vaccine	NSp	C	340	210	140	(O)During your Preparation Phase, you may discard two Level III Digimon cards from your hand, and invalidate one currently active Field Option card.	III10 IV20 P10 U10
Armadimon	Bo8	Bo-361	Bo-361	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Mammal	Vaccine	NSp	B	310	230	140	(O)During your Preparation Phase, you may discard two Level III Digimon cards from your hand, and invalidate one currently active Field Option card.	III10 IV20 P10 U10
Patamon	Bo8	Bo-362	Bo-362	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Mammal	Vaccine	WG	B	300	240	150	(O)During your Evolution Phase, you may discard two Level III Digimon cards from your hand, and invalidate any effects caused by the opponent's Program Option cards during the phase.	III10 IV20 P10 U10
Hawkmon	Bo8	Bo-363	Bo-363	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Bird	Data	WG	C	340	210	130	(O)During your Evolution Phase, you may discard two Level III Digimon cards from your hand, and invalidate any effects caused by the opponent's Program Option cards during the phase.	III10 IV20 P10 U10
Tailmon	Bo8	Bo-364	Bo-364	Plotmon + O Terriermon + OX Tyumon + OO	IV	Blue		Holy Beast	Vaccine	NSp	C	400	360	180	(O)For every Option card with the word 'Digimental' in its name that you discard from your hand, add 50 to your attack power (2 cards max).	III20 IV20 P10 U10
Archnemon	Bo8	Bo-365	Bo-365	Jogress Evolution Flybeemon + Honeybeemon Dokugumon + Winning Percentage: 40%! Flymon + Winning Percentage: 40%!	Perfect	Blue		Demon Beast	Virus	UK	B	510	480	300	(O)Has the abilities "grappling" and "underground". (O)You may discard one Insect type Digimon card from your hand, and add 200 to your attack power when facing an Insect type Digimon (1 card max).	III30 IV20 P20 U10
Tyumon	Bo8	Bo-366	Bo-366	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast	Virus	UK	C	310	190	200	Cannot lose its special abilities. (O)During battle, you may discard two Level III Digimon cards from your hand, check the contents of one card in the opponent's slot, and send it to the Dark Area.	III10 IV10 P10 U10
