Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Metal Garurumon	Bo3	Bo-109	Bo-109	Jogress Evolution Knightmon + Big Mamemon Were Garurumon + Perfect Digimon	Ultimate	Blue		Cyborg	Data	ME	B	550	530	280	(O)Has the ability "sky". (O)Regain 30 points when you evolve into this Digimon.	III40 IV30 P20 U20
Toy Agumon	Bo3	Bo-110	Bo-110	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Puppet	Vaccine	ME	A	360	240	150	None	III10 IV10 P10 U10
Betamon	Bo3	Bo-111	Bo-111	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Amphibian	Virus	NSp	C	330	240	170	(O)Has the ability "underwater".	III10 IV10 P10 U10
Clockmon	Bo3	Bo-112	Bo-112	Kokuwamon + O Toy Agumon + X	IV	Blue		Machine	Data	ME	B	400	370	180	None	III20 IV20 P10 U10
Guardromon	Bo3	Bo-113	Bo-113	Toy Agumon + X Kokuwamon + XX Hagurumon + XX	IV	Blue		Machine	Virus	ME	C	420	320	200	None	III20 IV20 P10 U10
Knightmon	Bo3	Bo-114	Bo-114	Clockmon + Winning Percentage: 40%! Golemon + Winning Percentage: 40%! Centalmon + Winning Percentage: 40%!	Perfect	Blue		Warrior	Data	ME	B	480	410	250	None	III30 IV20 P20 U10
Metal Greymon	Bo3	Bo-115	Bo-115	Greymon + Winning Percentage: 40%! Golemon + Winning Percentage: 40%! Revolmon + Winning Percentage: 40%!	Perfect	Blue		Cyborg	Vaccine	ME	A	510	440	210	(O)Has the ability "sky".	III30 IV20 P20 U10
Penmon	Bo3	Bo-116	Bo-116	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Bird	Vaccine	DS	A	360	240	150	(O)Has the ability "underwater".	III10 IV10 P10 U10
Dokunemon	Bo3	Bo-117	Bo-117	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Larva	Virus	NSp	C	340	240	130	None	III10 IV10 P10 U10
Platinum Scumon	Bo3	Bo-118	Bo-118	Tukaimon + X Dokunemon + X	IV	Blue		Mutant	Virus	UK	C	270	190	180	(O)When you win the battle, further reduce the opponent's points by 10.	III20 IV10 P10 U10
Psychemon	Bo3	Bo-119	Bo-119	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Reptile	Data	NSp	B	340	250	160	None	III10 IV10 P10 U10
Gururumon	Bo3	Bo-120	Bo-120	Gabumon + OO Bakumon + OO Psychemon + XX	IV	Blue		Beast	Vaccine	NSo	A	410	340	190	None	III20 IV10 P10 U10
Mori Shellmon	Bo3	Bo-121	Bo-121	Dokunemon + O Psychemon + O Betamon + X	IV	Blue		Mollusk	Data	NSp	B	400	340	220	(O)Has the ability "underground".	III20 IV10 P10 U10
Tukaimon	Bo3	Bo-122	Bo-122	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Mammal	Virus	WG	C	350	240	180	(O)Has the ability "sky".	III10 IV10 P10 U10
Igamon	Bo3	Bo-123	Bo-123	Alraumon + OO Tukaimon + OO	IV	Blue		Mutant	Vaccine	UK	A	450	320	200	(O)Has the ability "underground".	III20 IV20 P10 U10
Modoki Betamon	Bo3	Bo-124	Bo-124	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Amphibian	Data	DS	B	320	230	180	(O)Has the ability "underground".	III10 IV10 P10 U10
Saberdramon	Bo3	Bo-125	Bo-125	Piyomon + X Penmon + XX	IV	Blue		Giant Bird	Vaccine	WG	A	420	350	200	(O)Has the ability "sky".	III20 IV10 P10 U10
Yuki Agumon	Bo3	Bo-126	Bo-126	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Reptile	Vaccine	NSp	A	350	220	170	(O)Has the ability "underground".	III10 IV10 P10 U10
Alraumon	Bo3	Bo-127	Bo-127	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Plant	Data	NSp	B	340	250	140	None	III10 IV10 P10 U10
Flymon	Bo3	Bo-128	Bo-128	Gizamon + OO Kunemon + XX Dokunemon + O	IV	Blue		Insect	Virus	UK	C	410	300	190	(O)Has the ability "sky".	III20 IV20 P10 U10
Icemon	Bo3	Bo-129	Bo-129	Gottsumon + XX Yuki Agumon + OO Alraumon + O	IV	Blue		Ice-Snow	Data	NSp	B	440	350	210	(O)Has the ability "underground".	III20 IV20 P10 U10
Nise Drimogemon	Bo3	Bo-130	Bo-130	Dokunemon + X Modoki Betamon + O	IV	Blue		Beast	Data	NSp	B	400	380	160	(O)Has the ability "underground".	III20 IV10 P10 U10
Airdramon	Bo3	Bo-131	Bo-131	Betamon + XX Tukaimon + XX Piyomon + XX	IV	Blue		Mythical Beast	Vaccine	WG	A	440	380	200	(O)Has the ability "sky".	III20 IV20 P10 U10
Devidramon	Bo3	Bo-132	Bo-132	Gazimon + OO Gizamon + OO	IV	Blue		Evil Dragon	Virus	UK	C	450	340	210	(O)Has the ability "sky".	III20 IV20 P10 U10
