Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Ancient Greymon 	St11	St-694 	St-694 	At the start of the battle, when your Digimon is a Hybrid level that appeared from a Perfect level, discard one Digimon card from your hand whose type contains the word 'Dragon' in it (Ankylosaur/Ceratopsian/Dinosaur/Plesiosaur/Pterosaur/Stegosaur included), and make this card appear from your hand.	Ultimate	Blue 	Warrior Ten	Ancient Dragon 	Vaccine	UK	A	710	660	510	(O)You may discard two cards from your hand and double your attack power (2 cards max. If the discarded cards are Spirit of Fire H and Spirit of Fire B, your attack A will not go to zero due to the effects of attack C, and your attack power quintuples instead).	III30 IV30 P30 U30
Ancient Volcamon 	St11	St-695 	St-695 	At the start of the battle, when your Digimon is Volcamon, discard one Digimon card from your hand whose type contains the word 'Ore'/'Rock'/'Mineral' in it, and make this card appear from your hand.	Ultimate	Blue 	Warrior Ten	Ancient Ore 	Virus	UK	B	710	620	570	(O)You may discard two cards from your hand and double your attack power (2 cards max. If the discarded cards are Spirit of Earth H and Spirit of Earth B, your attack A will not go to zero due to the effects of attack C, and your attack power quintuples instead).	III30 IV30 P30 U30
Ancient Garurumon 	St11	St-696 	St-696 	At the start of the battle, when your Digimon is a Hybrid level that appeared from a Perfect level, discard one Digimon card from your hand whose type contains the word 'Beast'/'Animal' in it, and make this card appear from your hand.	Ultimate	Blue 	Warrior Ten	Ancient Beast 	Data	UK	A	720	630	540	(O)You may discard two cards from your hand and double your attack power (2 cards max. If the discarded cards are Spirit of Light H and Spirit of Light B, your attack A will not go to zero due to the effects of attack C, and your attack power quintuples instead).	III30 IV30 P30 U30
Ancient Beatmon 	St11	St-697 	St-697 	At the start of the battle, when your Digimon is a Hybrid level that appeared from a Perfect level, discard one Digimon card from your hand whose type contains the word 'Insect' in it, and make this card appear from your hand.	Ultimate	Blue 	Warrior Ten	Ancient Insect 	Vaccine	UK	B	700	680	530	(O)You may discard two cards from your hand and double your attack power (2 cards max. If the discarded cards are Spirit of Thunder H and Spirit of Thunder B, your attack A will not go to zero due to the effects of attack C, and your attack power quintuples instead).	III30 IV30 P30 U30
Blizzarmon 	St11	St-698 	St-698 	Spirit Evolution Level IV Digimon + Spirit of Ice B (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Beast 	Variable (same as the opponent)	DS	B	670	490	550	Send all of the opponent's Digimon that do not belong to Deep Savers to the Dark Area (excluding Level III, Hybrid level, and Digimon who have ended the battle). (O)Has the ability "grappling". 	III40 IV30 P20 U30
Chaos Dukemon 	St11	St-699 	St-699 	At the start of the battle, when your Digimon is a Hybrid level that appeared using a Spirit of 'Darkness'/'Light', discard one Digimon card from your hand belonging to Dark Area, and make this card appear from your hand.	Ultimate	Blue 		Dark Knight 	Virus	DA	A	760	520	510	During battle, you may discard one 'Spirit of Darkness H' card from your hand, and make your A attack unable to go to zero due to the effects of attack C, and triple your attack power.	III40 IV40 P20 U20
Metal Seadramon 	St11	St-700 	St-700 	At the start of the battle, when your Digimon is a Hybrid level that appeared with a Spirit of 'Water', 'Steel', or 'Ice', discard one Digimon card belonging to Deep Savers from your hand, and make this card appear from your hand.	Ultimate	Blue 		Cyborg 	Data	DS ME	A	650	550	500	(O)You may discard one 'Spirit of Water B', 'Spirit of Steel B', or 'Spirit of Ice B' card from your hand and make your attack A unable to go to zero due to the effects of attack C, as well as double your attack power (1 card max).	III40 IV30 P20 U10
Agnimon 	St11	St-701 	St-701 	Spirit Evolution Level IV Digimon + Spirit of Fire H (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Demon Man 	Variable (same as the opponent)	Nso	B	670	430	400	During battle, for every Option card that the opponent has face up, add 200 to your attack power.	III40 IV30 P20 U10
Shutumon 	St11	St-702 	St-702 	Spirit Evolution Level IV Digimon + Spirit of Wind B (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Bird Man 	Variable (same as the opponent)	WG	A	570	510	380	Send all of the opponent's Digimon that do not have the ability "sky" to the Dark Area (excluding Level III, Hybrid level, and Digimon who have ended the battle).	III30 IV20 P20 U20
Gigasmon 	St11	St-703 	St-703 	Spirit Evolution Level IV Digimon + Spirit of Earth B (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Mineral 	Variable (same as the opponent)	Nsp	A	690	540	600	Send all of the opponent's Spirit Evolved Digimon that appeared from a Level IV to the Dark Area (excluding Digimon that have already ended the battle).	III40 IV30 P20 U20
Mercuremon 	St11	St-704 	St-704 	Spirit Evolution Level IV Digimon + Spirit of Steel H (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Mutant 	Variable (same as the opponent)	ME	B	590	400	310	When the opponent is a Hybrid level, add 400 to your attack power.	III40 IV30 P20 U20
Blitzmon 	St11	St-705 	St-705 	Spirit Evolution Level IV Digimon + Spirit of Thunder H (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Cyborg 	Variable (same as the opponent)	ME	C	600	400	510	For every Perfect level Digimon on the opponent's sheet, add 200 to your attack power.	III40 IV30 P20 U20
