Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Dukemon	Bo13	Bo-606	Bo-606	When your Digimon is a Dukemon and the opponent is a Perfect or Ultimate level, make this card appear from your hand (during battle only). 	Ultimate	Blue		Holy Knight	Virus	WG	A	800	710	440	Cannot lose its special abilities. A or C will not go to zero due to the effects of attack C or A. (O)Has the ability "sky". (O)You may discard one 'Flame Fragment' card from your hand and quadruple your attack power.	III40 IV30 P10 U10 
Piyomon	Bo13	Bo-607	Bo-607	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Chick	Vaccine	NSp	B	380	230	140	Cannot receive the effects of 'Dark Tower' (this is not a special ability). (O)Has the abilities "sky" and "flame". 	III10 IV10 P10 U10 
Palmon	Bo13	Bo-608	Bo-608	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Plant	Data	NSp	A	360	240	190	Cannot receive the effects of 'Dark Tower' (this is not a special ability). (O)Has the abilities "underground", "grappling", and "flame". 	III10 IV10 P10 U10 
Keramon	Bo13	Bo-609	Bo-609	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area. 	III	Blue		Unknown	Unknown	DA	B	320	280	130	All of your Keramon and Chrysalimon cards cannot receive the effects of 'Dark Tower' (this is not a special ability). (O)Has the ability "sky". 	III10 IV10 P10 U10 
Lucemon	Bo13	Bo-610	Bo-610	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Angel	Vaccine	VB	A	520	480	250	This Digimon cannot use any Option cards, including those currently in play. In addition, you cannot receive your allies' support abilities (this is not a special ability).  	III20 IV20 P20 U20
Vikaralamon	Bo13	Bo-611	Bo-611	Boarmon (Armor Evolution) + Winning Percentage: 60%! 	Perfect	Blue	Deva	Holy Beast	Vaccine	NSo	B	540	480	400	The evolution requirements cannot be ignored. A or C will not go to zero due to the effects of attack C or A. Cannot lose its special abilities. (O)Cannot receive the effects of the opponent's Option cards. 	III40 IV20 P20 U20
Makuramon	Bo13	Bo-612	Bo-612	Opossumon (Armor Evolution) + Winning Percentage: 60%! 	Perfect	Blue	Deva	Holy Beast	Data	NSp	B	510	490	250	The evolution requirements cannot be ignored. (O)Only twice during battle, you may invalidate one of the opponent's Program or Item Option cards before they take effect.	III20 IV10 P10 U10
Megalo Growmon	Bo13	Bo-613	Bo-613	Growmon (Data) + Winning Percentage: 60%! 	Perfect	Blue		Cyborg	Data	ME	B	540	470	380	A will not go to zero due to the effects of attack C. When facing Metal Greymon, double your attack power (this is not a special ability).	III30 IV20 P10 U10
Justimon	Bo13	Bo-614	Bo-614	Cyberdramon + Winning Percentage: 80%! (O)Send one additional card from your hand to the Dark Area. 	Ultimate	Blue		Cyborg	Vaccine	VB	A	720	610	400	(O)You can make your attack A, B, or C regardless of the opponent's battle type. After that, lower your attack power by 60. (O)For every 'Holy Seventh' card you discard from your hand, add 200 to your attack power.	III40 IV30 P20 U20
Angewomon	Bo13	Bo-615	Bo-615	Nefertimon + Winning Percentage: 60%! 	Perfect	Blue		Archangel	Vaccine	WG	A	600	470	300	Cannot lose its special abilities. A or C will not go to zero due to the effects of attack C or A. (O)Has the ability "flame". 	III30 IV20 P20 U20
Wizarmon	Bo13	Bo-616	Bo-616	Bakumon + O/Keramon + XX 	IV	Blue		Demon Man 	Data	NSo	A	430	400	270	Add 'Draw one card from the opponent's Net Ocean. If it is an Option card, immediately reduce their points by 10. The card is then sent to the Dark Area (this is not a special ability).' to the description of any of your cards with the word 'Crest' in its name. 	III20 IV10 P10 U10
Leomon	Bo13	Bo-617	Bo-617	Guilmon + OOX/Elecmon + O 	IV	Blue		Beast Man	Vaccine	NSp	A	460	400	330	(S) When your points are 80 and below, send this card from your hand to your support box and add 460 to the attack power of one of your Nature Spirits Digimon that has no special abilities. 	III20 IV10 P10 U10
Grappu Leomon	Bo13	Bo-618	Bo-618	Leomon + Winning Percentage: 80%! 	Perfect	Blue		Beast Man	Vaccine	NSp	A	600	540	340	Cannot lose its special abilities. A or C will not go to zero due to the effects of attack C or A. (O)Has the ability "grappling". 	III30 IV20 P10 U30
Icemon	Bo13	Bo-619	Bo-619	Gottsumon + O/Plotmon + OO/Shamamon + X 	IV	Blue		Ice-Snow	Data	NSo	A	460	390	220	(O)Has the ability "grappling". (O)When you evolve into this Digimon, send the opponent's 'Dark Tower' card to the Dark Area. 	III20 IV10 P10 U10
Insekimon	Bo13	Bo-620	Bo-620	Icemon + Winning Percentage: 60%!/Ankylomon + Winning Percentage: 60%! 	Perfect	Blue		Ore	Data	ME	A	530	480	420	(O)Has the ability "grappling". (O)For every Gottsumon, Icemon, or Insekimon card other than this card on your sheet, add 200 to this card's attack power. 	III30 IV20 P10 U10
Lilimon	Bo13	Bo-621	Bo-621	Togemon + Winning Percentage: 80%!  	Perfect	Blue		Fairy	Data	NSp	A	620	400	380	Cannot lose its special abilities. A or C will not go to zero due to the effects of attack C or A. (O)Has the ability "grappling". 	III30 IV20 P10 U20
Kyubimon	Bo13	Bo-622	Bo-622	Renamon + OOO/Gabumon + O 	IV	Blue		Bewitching Beast	Data	NSp	C	400	430	260	(S) Send this card from your hand to your support box, add 400 to the attack power of your Nefertimon. 	III20 IV10 P10 U10
Taomon	Bo13	Bo-623	Bo-623	Youkomon + Winning Percentage: 60%!/Chrysalimon + Winning Percentage: 60%! 	Perfect	Blue		Demon Man 	Data	NSo	A	580	490	300	When facing Beelzebumon, triple your attack power (this is not a special ability). (O)Has the ability "flame". 	III30 IV20 P10 U10
Sakuyamon	Bo13	Bo-624	Bo-624	Taomon + Winning Percentage: 80%! 	Ultimate	Blue		God Man	Data	NSo	C	670	650	550	Cannot lose its special abilities. (O)Has the ability "flame". (O)Only once during battle, you may choose to look at the opponent's hand.	III40 IV30 P20 U30
Galgomon	Bo13	Bo-625	Bo-625	Terriermon + OOO/Gazimon + O 	IV	Blue		Beast Man	Vaccine	NSp	B	410	330	300	(O)When this Digimon gains the ability "grappling", add 200 to your attack power. 	III20 IV10 P10 U10
Gekomon	Bo13	Bo-626	Bo-626	Betamon + O/Modoki Betamon + O/Otamamon + X 	IV	Blue		Amphibian	Virus	NSp	B	470	320	290	(S) Send this card from your hand to your support box, and change the part of the description in one of your Nature Spirits Digimon's ability boxes that state '+50' to '+200'. 	III20 IV10 P10 U10
Opossumon	Bo13	Bo-627	Bo-627	Armor Evolution/Plotmon + Digimental of Kindness 	IV	Blue		Beast	Vaccine	NSo	B	440	360	260	(S) Send this card from your hand to your support box and add 360 to the attack power of your Nefertimon, as well as add 'The opponent's Level IV Digimon loses its special abilities (this is not a special ability)' to its ability box. 	III20 IV20 P10 U10
Depthmon	Bo13	Bo-628	Bo-628	Armor Evolution/Monodramon + Digimental of Sincerity 	IV	Blue		Aquatic Beast Man	Data	DS	A	480	400	220	(O)Has the abilities "underwater" and "grappling". 	III20 IV20 P10 U10
Centalmon	Bo13	Bo-629	Bo-629	Patamon + OO/Gabumon + O/Lopmon + OOO 	IV	Blue		Beast Man	Data	NSp	A	440	400	250	(O)When this Digimon gains either the ability "sky" or "grappling", add 200 to your attack power. 	III20 IV20 P10 U10
Turuiemon	Bo13	Bo-630	Bo-630	Lopmon + OO/Gabumon + OO 	IV	Blue		Beast Man	Data	NSp	A	420	340	270	(O)When this Digimon gains the ability "grappling", add 200 to your attack power.	III20 IV10 P10 U10
Shurimon	Bo13	Bo-631	Bo-631	Armor Evolution/Hawkmon + Digimental of Purity 	IV	Blue		Mutant	Data	WG	A	470	400	310	(O)Has the abilities "sky" and "grappling". (O)Halve the opponent's final attack power, after taking into account effects and special abilities. 	III20 IV20 P10 U10
Karatuki Numemon	Bo13	Bo-632	Bo-632	Tyumon + X 	IV	Blue		Crustacean	Virus	Unknown	C	370	290	190	(S) Send this card from your hand to your support box, and change the part of the description in one of your Nature Spirits Digimon's ability boxes that state '+50' to '+300'. 	III10 IV10 P10 U10 
Yukidarumon	Bo13	Bo-633	Bo-633	Snow Goburimon + O/Mushmon + O/Palmon + X 	IV	Blue		Icy Snow	Vaccine	NSo	B	470	390	240	(O)Has the ability "grappling". (O)When you evolve into this Digimon, send the opponent's 'Dark Tower' card to the Dark Area. 	III20 IV10 P10 U10
Baihumon	Bo13	Bo-634	Bo-634	During battle, when you have either a Makuramon, Sinduramon, or Caturamon in your Digimon box, discard one of the two remaining cards from your hand, and make Baihumon appear from your hand. 	Ultimate	Blue	Four Holy Beasts	Holy Beast	Data	Unknown	B	630	600	420	Cannot lose its special abilities. (O)During battle, for every Makuramon, Sinduramon, or Caturamon card you discard from your hand, add 400 to your attack power. 	III30 IV30 P30 U20
Xuanwumon	Bo13	Bo-635	Bo-635	During battle, when you have either a Vikaralamon, Kumbhiramon, or Vajramon in your Digimon box, discard one of the two remaining cards from your hand, and make Xuanwumon appear from your hand. 	Ultimate	Blue	Four Holy Beasts	Holy Beast	Vaccine	Unknown	C	670	570	460	Cannot lose its special abilities. (O)During battle, for every Vikaralamon, Kumbhiramon, or Vajramon card you discard from your hand, add 400 to your attack power. 	III30 IV30 P30 U20
Zhuqiaomon	Bo13	Bo-636	Bo-636	During battle, when you have either a Sandiramon, Indaramon, or Pajiramon in your Digimon box, discard one of the two remaining cards from your hand, and make Zhuqiaomon appear from your hand. 	Ultimate	Blue	Four Holy Beasts	Holy Beast	Virus	Unknown	A	730	550	450	Cannot lose its special abilities. (O)During battle, for every Sandiramon, Indaramon, or Pajiramon card you discard from your hand, add 400 to your attack power. 	III30 IV30 P30 U20
Okuwamon	Bo13	Bo-637	Bo-637	Fugamon + Winning Percentage: 60%!/Saberdramon + Winning Percentage: 60%!/Gururumon + Winning Percentage: 60%! 	Perfect	Blue		Insect	Virus	NSo	B	570	480	370	(O)Has the ability "sky". (O)When facing a Vaccine attribute Digimon, add 200 to your attack power. 	III30 IV20 P10 U10
Skull Greymon	Bo13	Bo-638	Bo-638	Black Growmon + Winning Percentage: 40%!/Greymon (Virus) + Winning Percentage: 40%! 	Perfect	Blue		Undead	Virus	NSo	A	590	500	330	(O)Has the ability "flame". (O)When facing a Data attribute Digimon, add 200 to your attack power. 	III30 IV20 P10 U10
Cerberumon	Bo13	Bo-639	Bo-639	Dobermon + Winning Percentage: 60%!/Youkomon + Winning Percentage: 60%!	Perfect	Blue		Demon Beast	Vaccine	NSo	A	550	420	330	(O)Has the ability "flame". (O)When facing a Virus attribute Digimon, add 200 to your attack power. 	III30 IV20 P10 U10
