Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Agnimon 	St10	St-614 	St-614 	Spirit Evolution Perfect Digimon + Spirit of Fire H (O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue 		Demon Man 	Variable (same as the opponent)		A	560	520	350	During battle, you may check the top card of your Net Ocean (afterwards, send it to the Dark Area). If it is a Digimon card, send all of the cards in the opponent's support box to the Dark Area.	III40 IV30 P10 U10
Monodramon 	St10	St-615 	St-615 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Small Dragon 	Vaccine	Nsp	A	320	290	130	Cannot receive the effects of "Dark Tower". (O)During the turn, you may invalidate one of the opponent's 'Digimental of Miracles' cards and send it to the Dark Area. 	III10 IV10 P10 U10
Fla Wizarmon 	St10	St-616 	St-616 	Armor Evolution Wormmon + Digimental of CourageTentomon + Digimental of Courage	IV	Blue 		Demon Man 	Virus	Nso	C	520	400	240	(O)Has the ability "flame". (O)When facing a Digimon with 'Armour Evolution' in its fusion requirements, double your attack power. 	III30 IV20 P20 U10
Wolfmon 	St10	St-617 	St-617 	Spirit Evolution Perfect Digimon + Spirit of Light H (O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue 		Warrior 	Variable (same as the opponent)		C	580	510	310	During battle, you may check the top card of your Net Ocean (afterwards, send it to the Dark Area). If it is a Digimon card, add 'A, B, and C will not go to zero due to the effects of attacks C, B, or A' to your abilities field.	III40 IV20 P20 U10
Gabumon 	St10	St-618 	St-618 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Reptile 	Data	ME	B	320	300	140	Cannot receive the effects of "Dark Tower". (O)During the turn, you may invalidate one of the opponent's 'Digimental of Fate' cards and send it to the Dark Area. 	III10 IV10 P10 U10
Fangmon 	St10	St-619 	St-619 	Gabumon + OO Bearmon + OX Impmon + OO	IV	Blue 		Demon Beast 	Data	Nso	B	460	320	300	Cannot receive the effects of 'Dark Tower' and 'Infinity Tower'. (O)When facing a Hybrid level Digimon, add 200 to your attack power. 	III20 IV20 P10 U10
Blitzmon 	St10	St-620 	St-620 	Spirit Evolution Perfect Digimon + Spirit of Thunder H (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Cyborg 	Variable (same as the opponent)		A	510	420	500	During battle, you may check the top card of your Net Ocean (afterwards, send it to the Dark Area). If it is a Digimon card, send all of the cards in the opponent's slots to the Dark Area.	III40 IV30 P10 U10
Tentomon 	St10	St-621 	St-621 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Insect 	Virus	ME	C	310	300	140	Cannot receive the effects of "Dark Tower". (S)Send this card from your hand to your support box, and invalidate one of the opponent's 'Infinity Tower' cards and send it to the Dark Area. 	III10 IV10 P10 U10
Dinobeemon 	St10	St-622 	St-622 	Kuwagamon + Winning Percentage: 40%! Stingmon + Winning Percentage: 40%! Gryzmon + Winning Percentage: 40%!	Perfect	Blue 		Mutant 	Virus	WG	A	570	430	310	When facing a Level IV Digimon, double your attack power. (O)Has the ability "grappling". 	III30 IV20 P10 U10
Chackmon 	St10	St-623 	St-623 	Spirit Evolution Level IV Digimon + Spirit of Ice H (O)The spirit remains in the support box until this card is sent to the Dark Area.	Hybrid	Blue 		Beast Man 	Variable (same as the opponent)		A	480	460	210	During battle, you may check the top card of your Net Ocean (afterwards, send it to the Dark Area). If it is a Digimon card, send one of the opponent's Perfect level Digimon to the Dark Area.	III30 IV20 P10 U10
