Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Megidramon 	St9	St-494 	St-494 	Master Tyranomon + Winning Percentage: 60%! Brachimon + Winning Percentage: 60%! Megalo Growmon + Winning Percentage: 80%! Black Megalo Growmon + Winning Percentage: 60%!	Ultimate	Blue 		Evil Dragon 	Virus	Nso	C	760	700	480	A will not go to zero due to the effects of attack C; this Digimon is sent to the Dark Area when it becomes a Vaccine attribute. All Digimon cannot use cards with the words 'Connection' or 'Slot' in them (including cards currently in effect). 	III40 IV30 P20 U40
Monodramon 	St9	St-495 	St-495 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Small Dragon 	Vaccine	Nsp	B	380	240	150	(O)Has the abilities "underground" and "grappling".	III10 IV10 P10 U10
Gottsumon 	St9	St-496 	St-496 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Mineral 	Data	Nso	A	340	260	200	Cannot receive the effects of "Dark Tower". (This is not a special ability) (O)Has the abilities "underground" and "grappling". 	III10 IV10 P10 U10
Agumon 	St9	St-497 	St-497 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Reptile 	Vaccine	Nsp	B	330	270	180	(O)Has the abilities "underground" and "grappling".	III10 IV10 P10 U10
Cyclomon 	St9	St-498 	St-498 	Monodramon + O Guilmon + XX Gottsumon + X	IV	Blue 		Dragon Man 	Virus	Nsp	A	480	410	250	(O)You can make C your attack regardless of the opponent's Battle Type.	III20 IV10 P10 U10
Cyclomon (1)	St9	St-499 	St-499 	Agumon + XX Gottsumon + X	IV	Blue 		Dragon Man 	Virus	Nsp	B	500	380	240	(O)You can make A your attack regardless of the opponent's Battle Type.	III20 IV10 P10 U10
Tyranomon 	St9	St-500 	St-500 	Monodramon + O Gottsumon + O V-mon + XX	IV	Blue 		Dinosaur 	Data	Nsp	A	440	400	230	(O)You can make C your attack regardless of the opponent's Battle Type.	III20 IV10 P10 U10
Tyranomon (1)	St9	St-501 	St-501 	Monodramon + OO Agumon + OO	IV	Blue 		Dinosaur 	Data	Nsp	B	470	350	220	(O)You can make A your attack regardless of the opponent's Battle Type.	III20 IV10 P10 U10
Dark Tyranomon 	St9	St-502 	St-502 	Guilmon + XX Monodramon + O Agumon + X 	IV	Blue 		Dinosaur 	Virus	Nso	C	480	380	200	(O)You can make B your attack regardless of the opponent's battle type.	III20 IV10 P10 U10
Tuskmon 	St9	St-503 	St-503 	Gottsumon + O Monodramon + O Palmon + X	IV	Blue 		Dinosaur 	Virus	Nsp	A	480	350	260	(O)Has the abilities "underground" and "flame".	III20 IV10 P10 U10
Stegomon 	St9	St-504 	St-504 	Armor Evolution Gottsumon + Digimental of Friendship	IV	Blue 		Stegosaur 	Data	Nso	B	460	400	340	(O)Has the abilities "underground" and "flame".	III30 IV20 P10 U10
Monochromon 	St9	St-505 	St-505 	Monodramon + O Guilmon + OO Agumon + OO	IV	Blue 		Ankylosaur 	Data	Nsp	A	420	350	360	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
Deltamon 	St9	St-506 	St-506 	Gottsumon + O Monodramon + OO Modoki Betamon + X	IV	Blue 		Composite 	Virus	Nso	B	470	400	280	(O)Has the abilities "underground", "grappling", and "flame".	III20 IV10 P10 U10
Ankylomon 	St9	St-507 	St-507 	Gottsumon + OO Agumon + OO Modoki Betamon + X	IV	Blue 		Ankylosaur 	Vaccine	ME	B	480	380	300	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
Growmon 	St9	St-508 	St-508 	Agumon + OO Monodramon + OO Gottsumon + XX	IV	Blue 		Demon Dragon 	Virus	Nsp	C	440	400	230	(S)When your points are 50 and below, you can send this card from your hand to your support box and add 400 to the attack power of one of your Level IV Digimon.	III20 IV10 P10 U10
Greymon 	St9	St-509 	St-509 	Agumon + OO Terriermon + OX Gottsumon + XX	IV	Blue 		Dinosaur 	Vaccine	ME	B	400	470	220	(S)When your points are 50 and below, send this card from your hand to your support box and add 470 to the attack power of one of your Perfect level Digimon.	III20 IV10 P10 U10
