Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
War Greymon 	St2	St-61 	Metal Greymon + Winning Percentage: 60%! Big Mamemon + Winning Percentage: 60%!	Ultimate 	Blue 		Dragon Man 	Vaccine 	ME 	A 	570	500	320	(O)Has the ability "sky". (O)Regain 30 points when you evolve into this Digimon.	III40 IV30 P20 U20
Gottsumon 	St2	St-62 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Ore 	Data 	Nsp 	B 	320	260	120	(O)Has the ability "underground".	III10 IV10 P10 U10
Kunemon 	St2	St-63 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Larva 	Virus 	NSp 	C 	330	240	130	(O)Has the ability "underground".	III10 IV10 P10 U10
Hagurumon 	St2	St-64 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Mutant 	Virus 	ME 	C 	360	240	130	None	III10 IV10 P10 U10
Kokuwamon 	St2	St-65 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Machine 	Data 	ME 	B 	350	260	150	(O)Has the ability "sky".	III10 IV10 P10 U10
Kabuterimon 	St2	St-66 	Tentomon + OO Gabumon + OO	IV 	Blue 		Insect 	Vaccine 	NSp 	A 	440	350	190	(O)Has the ability "sky".	III20 IV20 P10 U10
Angemon 	St2	St-67 	Patamon + O Gabumon + O Palmon + O	IV 	Blue 		Angel 	Vaccine 	WG 	A 	440	370	180	(O)Has the ability "sky".	III20 IV20 P10 U10
Rukamon 	St2	St-68 	Gomamon + O Ganimon + O Penmon + O	IV 	Blue 		Aquatic Mammal 	Vaccine 	DS 	A 	440	380	180	(O)Has the ability "underwater".	III20 IV20 P10 U10
Zudomon 	St2	St-69 	Ikkakumon + Winning Percentage: 40%! Rukamon + Winning Percentage: 40%! Centalmon + Winning Percentage: 40%!	Perfect 	Blue 		Marine Animal 	Vaccine 	DS 	A 	510	410	230	(O)Has the ability "underwater".	III30 IV20 P20 U10
Wizarmon 	St2	St-70 	Palmon + OO Gabumon + OO Pico Devimon + XX	IV 	Blue 		Demon Man 	Data 	NSo 	B 	480	360	200	(O)Has the ability "sky".	III20 IV10 P10 U10
Death Meramon 	St2	St-71 	Meramon + Winning Percentage: 40%! Wizarmon + Winning Percentage: 40%! Devimon + Winning Percentage: 40%!	Perfect 	Blue 		Flame 	Data 	NSo 	B 	480	440	230	None	III30 IV30 P20 U10
Leomon 	St2	St-72 	Gabumon + OO Gazimon + XX Elecmon + OO	IV 	Blue 		Beast Man 	Vaccine 	NSp 	A 	460	400	210	None	III20 IV20 P10 U10
Kuwagamon 	St2	St-73 	Kunemon + OO Kokuwamon + O Gizamon + XX	IV 	Blue 		Insect 	Virus 	Nsp 	C 	430	380	170	(O)Has the ability "sky".	III30 IV20 P10 U10
