Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Megalo Growmon 	St6	St-325 	St-325 	Growmon + Winning Percentage: 40%! Allomon + Winning Percentage: 40%! Lighdramon + Winning Percentage: 40%!	Perfect	Blue 		Cyborg 	Virus	ME	B	580	470	330	(O)When facing a Data attribute Digimon, add 200 to your attack power.	III30 IV20 P10 U10
Black Growmon 	St6	St-326 	St-326 	Guilmon + O Renamon + OO Pico Devimon + OO	IV	Blue 		Demon Dragon 	Virus	Nsp	C	480	370	200	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
Guilmon 	St6	St-327 	St-327 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Reptile 	Virus	Nsp	A	380	230	150	Cannot receive the effects of "Dark Tower". (O)Has the ability "underground". 	III10 IV10 P10 U10
Renamon 	St6	St-328 	St-328 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Beast Man 	Data	Nso	C	340	290	130	Cannot receive the effects of "Dark Tower". (O)Has the ability "underground". 	III10 IV10 P10 U10
Terriermon 	St6	St-329 	St-329 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Beast 	Vaccine	Nsp	B	350	230	210	Cannot receive the effects of "Dark Tower". (O)Has the ability "underground". 	III10 IV10 P10 U10
Pico Devimon 	St6	St-330 	St-330 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Small Devil 	Virus	Nso	A	370	240	160	Cannot receive the effects of "Dark Tower". (O)Has the ability "sky". 	III10 IV10 P10 U10
Ganimon 	St6	St-331 	St-331 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Crustacean 	Data	DS	C	340	270	150	Cannot receive the effects of "Dark Tower". (O)Has the ability "underwater". 	III10 IV10 P10 U10
Hagurumon 	St6	St-332 	St-332 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Machine 	Virus	ME	B	360	210	200	Cannot receive the effects of "Dark Tower". (O)Has the ability "sky". 	III10 IV10 P10 U10
Growmon 	St6	St-333 	St-333 	Guilmon + OO Terriermon + O Hagurumon + O	IV	Blue 		Demon Dragon 	Virus	Nsp	B	450	350	240	(O)Has the abilities "underground" and "grappling". (O)When you evolve into this Digimon, the opponent's Dark Tower card is sent to the Dark Area. 	III20 IV10 P10 U10
Kyubimon 	St6	St-334 	St-334 	Renamon + O Guilmon + OO Pico Devimon + OO	IV	Blue 		Bewitching Beast 	Data	Nso	A	430	400	220	(O)Has the abilities "underground" and "grappling". (O)When you evolve into this Digimon, the opponent's Dark Tower card is sent to the Dark Area. 	III20 IV10 P10 U10
Taomon 	St6	St-335 	St-335 	Kyubimon + Winning Percentage: 40%! Prairiemon + Winning Percentage: 40%! Rinkmon + Winning Percentage: 40%!	Perfect	Blue 		Demon Man 	Data	Nso	B	530	490	320	(O)When facing a Vaccine attribute Digimon, add 200 to your attack power.	III30 IV20 P10 U10
Greymon 	St6	St-336 	St-336 	Terriermon + OO Guilmon + OO Agumon + OO	IV	Blue 		Dinosaur 	Virus	Nsp	B	450	330	240	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
XV-mon 	St6	St-337 	St-337 	Renamon + OO Pico Devimon + XX V-mon + OO	IV	Blue 		Mythical Dragon 	Vaccine	Nsp	A	460	340	230	(O)Has the abilities "sky" and "grappling".	III20 IV10 P10 U10
Dark Tyranomon 	St6	St-338 	St-338 	Terriermon + XX Pico Devimon + OO Gizamon + OO	IV	Blue 		Dinosaur 	Virus	UK	A	480	320	220	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
Monochromon 	St6	St-339 	St-339 	Guilmon + O Ganimon + OO Snow Goburimon + OO	IV	Blue 		Ankylosaur 	Data	Nsp	C	460	330	280	(O)Has the abilities "underground" and "grappling".	III20 IV10 P10 U10
Valkyrimon 	St6	St-340 	St-340 	Taomon + Winning Percentage: 60%! Skull Satamon + Winning Percentage: 60%! Chimairamon + Winning Percentage: 60%!	Ultimate	Blue 		Warrior 	Data	WG	C	540	600	380	Cannot lose its special abilities. (O)A cannot go to zero. 	III40 IV30 P20 U10
Seadramon 	St6	St-341 	St-341 	Betamon + O Ganimon + OO Renamon + OO	IV	Blue 		Aquatic 	Data	DS	A	460	320	260	(O)Has the abilities "underwater" and "grappling".	III20 IV10 P10 U10
Gesomon 	St6	St-342 	St-342 	Ganimon + OO Guilmon + OO Modoki Betamon + OO	IV	Blue 		Mollusk 	Virus	DS	A	450	310	260	(O)Has the abilities "underwater" and "grappling".	III20 IV10 P10 U10
