Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Dukemon 	St7	St-385 	Megalo Growmon + Winning Percentage: 60%!	Ultimate	Blue 		Holy Knight 	Virus	Nsp	A	710	620	400	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)During battle, you may discard one Saint Galgomon card from your hand and double your attack power (1 card max). 	III40 IV30 P20 U10
Sakuyamon 	St7	St-386 	Taomon + Winning Percentage: 60%! Mephismon + Winning Percentage: 80%!	Ultimate	Blue 		God Man 	Data	Nso	A	700	640	400	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)During battle, you may discard one Dukemon card from your hand and double your attack power (1 card max). 	III40 IV30 P20 U10
Saint Galgomon 	St7	St-387 	Rapidmon + Winning Percentage: 60%! Were Garurumon + Winning Percentage: 60%! (O)Can only evolve from Perfect level Digimon.	Ultimate	Blue 		Machine 	Vaccine	ME	A	660	650	480	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)During battle, you may discard one Sakuyamon card from your hand and double your attack power (1 card max). 	III40 IV30 P20 U20
Rapidmon 	St7	St-388 	Armor Evolution Terriermon + Digimental of Fate Lopmon + Digimental of Fate	Perfect	Blue 		Holy Knight 	Vaccine	ME	C	520	440	260	(O)Has the abilities "sky" and "grappling". (O)The opponent loses its special abilities. (O)For every Digimon card you discard from your hand, add 80 to your attack power. 	III30 IV20 P20 U10
Guilmon 	St7	St-389 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Reptile 	Virus	Nsp	A	390	220	150	(S)When your points are 60 and below, take this card from your hand and add 220 to the attack power of one of your Digimon belonging to Nature Spirits. (This is a support ability)	III10 IV10 P10 U10
Renamon 	St7	St-390 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Beast Man 	Data	Nso	B	340	290	150	(S)When your points are 60 and below, take this card from your hand and add 220 to the attack power of one of your Digimon belonging to Nightmare Soldiers. (This is a support ability)	III10 IV10 P10 U10
Terriermon 	St7	St-391 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue 		Beast 	Vaccine	Nsp	A	350	200	230	(O)Has the ability "underground". (O)When there is a Lopmon card on your sheet, add 200 to your attack power. 	III10 IV10 P10 U10
Growmon 	St7	St-392 	Guilmon + O Goburimon + XX Labramon + OO 	IV	Blue 		Demon Dragon 	Virus	Nsp	C	430	380	230	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)When there is a XV-mon on the opponent's sheet, add 220 to your attack power. 	III20 IV10 P10 U10
Growmon (1)	St7	St-393 	Guilmon + OO Terriermon + OO	IV	Blue 		Demon Dragon 	Virus	Nsp	A	460	370	240	(S)When your points are 60 and below, take this card from your hand and add 370 to the attack power of one of your Digimon belonging to Nature Spirits. (This is a support ability).	III20 IV10 P10 U10
Kyubimon 	St7	St-394 	Renamon + O Labramon + OO Gizamon + OX	IV	Blue 		Bewitching Beast 	Data	Nso	B	420	400	210	(S)When your points are 60 and below, take this card from your hand and add 400 to the attack power of one of your Digimon belonging to Nightmare Soldiers. (This is a support ability).	III10 IV10 P10 U10
