Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Imperialdramon 	St4	St-169 	Jogress Evolution Paildramon + Metal Greymon Paildramon + Winning Percentage: 60%! Knightmon + Winning Percentage: 60%!	Ultimate 	Blue 		Ancient Dragon 	Vaccine 	NSp 	B 	600	540	350	(O)Regain 20 points when you evolve into this Digimon. (O)When facing a Digimon with Armor Evolution in its Fusion Requirements, double your attack power. 	III30 IV20 P20 U10
Bakumon 	St4	St-170 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Holy Beast 	Vaccine 	NSo 	C 	370	260	160	(O)Has the ability "underground".	III10 IV10 P10 U10
Hagurumon 	St4	St-171 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Machine 	Virus 	ME 	A 	380	270	190	(O)Has the ability "grappling".	III20 IV10 P10 U10
Otamamon 	St4	St-172 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Amphibian 	Virus 	NSp 	B 	330	290	190	(O)Has the ability "underwater".	III20 IV10 P10 U10
Kokuwamon 	St4	St-173 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Insect 	Data 	ME 	A 	390	200	180	(O)Has the ability "sky".	III10 IV10 P10 U10
Elecmon 	St4	St-174 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Mammal 	Data 	NSp 	C 	390	210	140	(O)Has the ability "grappling".	III10 IV10 P10 U10
Pico Devimon 	St4	St-175 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III 	Blue 		Small Devil 	Virus 	NSo 	A 	370	260	180	(O)Has the ability "sky".	III20 IV10 P10 U10
Black Tailmon 	St4	St-176 	Bakumon + XX Plotmon + XX Floramon + OO	IV 	Blue 		Demon Beast 	Virus 	NSo 	A 	450	340	210	(O)Has the ability "grappling". (O)When the opponent has the ability "underground", add 50 to your attack power. 	III30 IV20 P10 U10
Sorcerimon 	St4	St-177 	Bakumon + OO Wormmon + OO Goburimon + OO	IV 	Blue 		Demon Man 	Vaccine 	WG 	C 	480	380	170	(O)If the opponent has the ability "grappling", add 50 to your attack power.	III30 IV20 P10 U10
Thunderballmon 	St4	St-178 	Hagurumon + XX Kokuwamon + OO Armadimon + OO	IV 	Blue 		Mutant 	Data 	ME 	A 	460	340	250	(O)Has the ability "grappling". (O)At the end of your turn, you may discard one card from your hand and invalidate one Field Option card that is currently active. 	III30 IV20 P10 U10
Tankmon 	St4	St-179 	Kokuwamon + OO V-mon + OO Psychemon + XX	IV 	Blue 		Cyborg 	Data 	ME 	A 	460	340	230	(O)When the opponent has the ability "sky", add 50 to your attack power.	III30 IV20 P10 U10
Shima Unimon 	St4	St-180 	Yuki Agumon + X Elecmon + OO Candmon + OO	IV 	Blue 		Mythical Beast 	Vaccine 	NSp 	B 	420	360	210	(O)When the opponent has the ability "underground", add 50 to your attack power.	III30 IV20 P10 U10
Dark Tyranomon 	St4	St-181 	Gazimon + OO Bakumon + XX Clear Agumon + OO	IV 	Blue 		Dinosaur 	Virus 	UK 	A 	440	340	250	(O)Has the ability "grappling". (O)At the end of your turn, you may discard one card from your hand and invalidate one Field Option card that is currently active. 	III30 IV20 P10 U10
