Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
XV-mon	Bo6	Bo-259	V-mon + OOO	IV	Blue		Mythical Dragon	Vaccine	NSp	B	480	430	250	(O)This Digimon cannot receive any attack power modifications. (O)When you have no cards in your slots, you are not affected by "A goes to zero".	III20 IV10 P10 U10
V-dramon	Bo6	Bo-260	V-mon + OO Yuki Agumon + OO Muchomon + OO	IV	Blue		Mythical Dragon	Vaccine	WG	C	450	400	260	(O)Has the ability "underground". (O)Cannot receive effects that cause the battle to end in a draw.	III20 IV10 P10 U10
Metal Greymon	Bo6	Bo-261	Greymon + Winning Percentage: 40%! Drimogemon + Winning Percentage: 40%! Tuskmon + Winning Percentage: 40%!	Perfect	Blue		Cyborg	Vaccine	ME	B	510	450	240	(O)Has the ability "sky". (O)Cannot receive effects that cause the battle to end in a draw.	III30 IV20 P10 U10
Garudamon	Bo6	Bo-262	Birdramon + Winning Percentage: 40%! Fugamon + Winning Percentage: 40%! Akatorimon + Winning Percentage: 40%!	Perfect	Blue		Bird Man	Vaccine	WG	C	490	450	240	(O)Has the ability "sky". (O)Cannot receive effects that cause the battle to end in a draw.	III30 IV20 P10 U10
Were Garurumon	Bo6	Bo-263	Garurumon + Winning Percentage: 40%! Mojyamon + Winning Percentage: 40%! Icemon + Winning Percentage: 40%!	Perfect	Blue		Beast Man	Vaccine	NSo	C	480	510	260	(O)Has the ability "underground". (O)The opponent Digimon loses its special abilities.	III30 IV20 P10 U10
Vamdemon	Bo6	Bo-264	Gokimon + Winning Percentage: 40%! Cockatrimon + Winning Percentage: 40%! J Mojyamon + Winning Percentage: 40%!	Perfect	Blue		Undead	Virus	NSo	A	500	380	280	(O)Has the ability "sky". (O)The opponent Digimon loses its special abilities.	III30 IV20 P10 U10
Metal Garurumon	Bo6	Bo-265	Were Garurumon + Winning Percentage: 60%! Andromon + Winning Percentage: 60%! Metal Mamemon + Winning Percentage: 60%!	Ultimate	Blue		Cyborg	Data	ME	A	560	540	300	(O)Has the ability "sky". (O)Cannot receive effects that cause the battle to end in a draw. (O)The opponent's Digimon loses its special abilities.	III30 IV30 P20 U10
War Greymon	Bo6	Bo-266	Metal Greymon + Winning Percentage: 60%! Asuramon + Winning Percentage: 60%! Mamemon + Winning Percentage: 60%!	Ultimate	Blue		Dragon Man	Vaccine	ME	B	570	520	330	(O)Has the ability "sky". (O)Cannot receive effects that cause the battle to end in a draw. (O)The opponent's Digimon loses its special abilities.	III30 IV30 P20 U10
Metal Seadramon	Bo6	Bo-267	Mega Seadramon + Winning Percentage: 60%! Whamon Perfect + Winning Percentage: 60%! Marin Devimon + Winning Percentage: 60%!	Ultimate	Blue		Cyborg	Data	DS	C	550	500	320	(O)Has the ability "underwater". (O)Cannot receive effects that cause the battle to end in a draw. (O)The opponent's Digimon loses its special abilities.	III30 IV20 P20 U10
DigiBeetle	Bo6	Bo-268	Battle Phase (O)You may only place one of this card in your slots; cannot receive the effects of 'Items being invalidated'.		Blue		Item							(O)You may switch your Digimon with a Level IV Digimon from your hand with 'O', 'X', 'OO' or 'XX' in its evolution requirements. After the switch, reduce your points by 10. (O)This card can only be used when your Digimon is Level IV. (O)This card remains in its slot and continues its effects until it is discarded by you or when your Digimon reaches the end of its lifespan.	
