Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Omegamon	Bo5	Bo-211	War Greymon + Fuse Into the Ultimate Digimon! Metal Garurumon + Fuse Into the Ultimate Digimon!	Ultimate	Blue		Holy Knight	Vaccine	ME	A	700	700	550	(O)This Digimon can only be fused from the Digimon stated in this card's evolution requirements field. (O)Send this Digimon to the Dark Area at the end of the turn.	III40 IV40 P30 U30
Gomamon	Bo5	Bo-212	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Marine Animal	Vaccine	DS	A	350	260	140	(O)Has the ability "underwater".	III10 IV10 P10 U10
Lilimon	Bo5	Bo-213	Togemon + Winning Percentage: 40%! Yanmamon + Winning Percentage: 40%! Pidmon + Winning Percentage: 40%!	Perfect	Blue		Fairy	Data	WG	A	500	420	240	(O)Has the ability "sky". (O)Only once during battle, you may discard one card from your hand and invalidate one of the opponent's Program Option cards before it takes effect.	III30 IV20 P20 U10
Vamdemon	Bo5	Bo-214	Hyougamon + Winning Percentage: 60%! Devidramon + Winning Percentage: 40%! Musyamon + Winning Percentage: 40%!	Perfect	Blue		Undead	Virus	NSo	B	500	380	260	(O)Has the ability "sky". (O)For every Digimon card you discard from your hand, add 30 to your attack power.	III40 IV30 P20 U10
King Etemon	Bo5	Bo-215	Etemon + Winning Percentage: 60%! Digitamamon + Winning Percentage: 60%!	Ultimate	Blue		Puppet	Virus	ME	B	600	530	350	(O)When you win the battle, you may add 30 to the opponent's Lost Points. (O)Cannot receive effects that cause the battle to end in a draw.	III60 IV50 P40 U30
Aero V-dramon	Bo5	Bo-216	V-dramon + Winning Percentage: 60%! Shurimon + Winning Percentage: 60%! V-dramon Zero + Winning Percentage: 40%!	Perfect	Blue		Holy Dragon	Vaccine	WG	A	510	450	240	(O)Has the ability "sky". (O)Cannot receive effects that cause the battle to end in a draw.	III30 IV20 P20 U10
Sethmon	Bo5	Bo-217	Armor Evolution V-mon + Digimental of Love	IV	Blue		Demon Beast	Vaccine	NSo	A	490	400	220	(O)Has the ability "underground". (O)Halve the opponent's final attack power, after taking into account effects and abilities.	III30 IV20 P20 U10
Nohemon	Bo5	Bo-218	Armor Evolution Wormmon + Digimental of Purity	IV	Blue		Puppet	Virus	NSp	C	460	420	210	(O)Has the ability "sky". (O)Halve the opponent's final attack power, after taking into account effects and abilities.	III30 IV20 P20 U10
Honeybeemon	Bo5	Bo-219	Armor Evolution V-mon + Digimental of Knowledge	IV	Blue		Insect	Data	NSp	A	440	400	230	(O)Has the ability "sky". (O)Halve the opponent's final attack power, after taking into account effects and abilities.	III30 IV20 P30 U10
Ikkakumon	Bo5	Bo-220	Gomamon + OO Muchomon + OO	IV	Blue		Marine Animal	Vaccine	DS	C	480	350	220	(O)Has the ability "underwater".	III20 IV20 P10 U10
