Name	Set	ImageFile	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Justimon 	Bo21	Bo-1025 	Cyberdramon + Winning Percentage: 60%! Black Rapidmon + Winning Percentage: 60%! 	Ultimate	Blue		Cyborg 	Vaccine	WG	A	710	610	480	(O)For every red frame card on the opponent's sheet, add 300 to your attack power. 	III40 IV30 P20 U20
Cyberdramon 	Bo21	Bo-1026 	Strikedramon + Winning Percentage: 40%! Hanumon + Winning Percentage: 40%! Peacockmon + Winning Percentage: 40%!	Perfect	Blue		Cyborg 	Vaccine	ME	C	590	500	300	Cannot lose its special abilities. (O)The opponent's red frame Digimon loses its special abilities. (O)When the opponent has no special abilities, double your attack power. 	III30 IV20 P20 U20
Strikedramon 	Bo21	Bo-1027 	Monodramon + OO Lopmon + O Labramon + O	IV	Blue		Dragon Man 	Vaccine	Nsp	B	480	300	260	(O)When facing a red frame Level III, Level IV, or Perfect level Digimon, add 150 to your attack power. 	III20 IV10 P10 U10
Labramon 	Bo21	Bo-1028 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast 	Vaccine	Nsp	A	350	260	110	(O)Has the ability "underground". 	III10 IV10 P10 U10
Shakkoumon 	Bo21	Bo-1029 	Hanumon + Winning Percentage: 40%! Ankylomon + Angemon Peacockmon + Nefertimon	Perfect	Blue		Mutant 	Data	UK	B	520	420	410	Cannot lose its special abilities. (O)During battle, the opponent's red frame Digimon cannot use blue frame Item Option cards. 	III30 IV20 P20 U10
Owlmon 	Bo21	Bo-1030 	Wormmon + OO Piyomon + OO Tukaimon + O 	IV	Blue		Bird 	Virus	Nsp	A	450	390	210	(S)Add 390 to the attack power of your Nature Spirits Digimon. 	III20 IV20 P10 U10
Ornismon 	Bo21	Bo-1031 	Shakkoumon + Winning Percentage: 60%! Garudamon + Winning Percentage: 60%! Silphymon + Winning Percentage: 60%!	Ultimate	Blue		Ancient Bird 	Virus	Nso	A	650	590	500	(O)When you lose the battle, send the top 10 cards of the opponent's Net Ocean to the Dark Area. 	III40 IV30 P30 U20
Vikemon 	Bo21	Bo-1032 	Zudomon + Winning Percentage: 60%! Hangyomon + Winning Percentage: 40%! Marin Devimon + Mermaimon	Ultimate	Blue		Beast Man 	Vaccine	DS	B	600	560	400	(O)During battle, for every card face-up in your slots, add 100 to your attack power. 	III30 IV20 P20 U10
Zudomon 	Bo21	Bo-1033 	Ikkakumon + Winning Percentage: 40%! Archelomon + Winning Percentage: 40%! Orgemon + Winning Percentage: 40%!	Perfect	Blue		Marine Animal 	Vaccine	DS	A	600	580	400	Cannot lose its special abilities. (O)When the opponent is a red frame Digimon, even if you lose the battle, you may discard three cards from your hand and not be sent to the Dark Area. 	III30 IV30 P20 U20
Ikkakumon 	Bo21	Bo-1034 	Gomamon (Blue Frame) + OO Labramon + O Gizamon + O	IV	Blue		Marine Animal 	Vaccine	DS	B	460	400	200	(O)Has the ability "underwater". (O)When facing a red frame Level III or Level IV Digimon, add 200 to your attack power. 	III20 IV10 P10 U10
Ebidramon 	Bo21	Bo-1035 	Gizamon + O Gomamon (Blue Frame) + OO Ebi Burgamon + O 	IV	Blue		Aquatic 	Data	DS	A	430	350	300	(S)When your points are 80 and below, add 350 to the attack power of your Deep Savers Digimon. (O)Has the abilities "underwater" and "freezing". 	III20 IV10 P10 U10
Hangyomon 	Bo21	Bo-1036 	Mantaraymon + Orgemon Ebidramon + Shellmon Archelomon + Gorimon	Perfect	Blue		Aquatic Beast Man 	Data	DS	C	590	520	480	Cannot lose its special abilities. (O)When the opponent is a red frame Digimon, even if you lose the battle, you may discard three cards from your hand and not be sent to the Dark Area. 	III40 IV30 P30 U20
Ancient Megatheriumon 	Bo21	Bo-1037 	Marin Devimon (Blue Frame) + Winning Percentage: 80%! Vikemon (Blue Frame) + The Conflict I Staked My Life On	Ultimate	Blue	Warrior Ten	Ancient Beast 	Data	DS	C	700	630	600	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)When you evolve using the card 'The Conflict I Staked My Life On', triple your attack power until the end of the turn. 	III40 IV30 P30 U30
Marin Devimon 	Bo21	Bo-1038 	Octmon + Winning Percentage: 40%! Gesomon + Winning Percentage: 40%! Mantaraymon + Winning Percentage: 40%! 	Perfect	Blue		Aquatic Beast Man 	Virus	DS	A	540	480	320	Cannot lose its special abilities. (O)During battle, the opponent's red frame Digimon cannot use blue frame Program Option cards. 	III30 IV20 P20 U10
Marin Angemon 	Bo21	Bo-1039 	Holy Angemon + Winning Percentage: 60%! Mermaimon + Winning Percentage: 60%! Piccolomon + Winning Percentage: 60%!	Ultimate	Blue		Fairy 	Vaccine	DS	B	650	510	430	Cannot lose its special abilities. (O)During battle, the opponent Digimon becomes unable to discard any cards from their hand. 	III30 IV30 P20 U10
Octmon 	Bo21	Bo-1040 	Shakomon (Blue Frame) + O Otamamon (Blue Frame) + O Penmon + O 	IV	Blue		Mollusk 	Virus	DS	B	440	370	200	(O)When facing a Digimon that does not belong to Deep Savers, add 200 to your attack power. 	III20 IV10 P10 U10
Shellmon 	Bo21	Bo-1041 	Kunemon + O Ganimon + O Penmon + O	IV	Blue		Aquatic 	Data	DS	B	410	390	280	(O)When facing a Digimon that does not belong to Deep Savers, add 200 to your attack power. 	III20 IV10 P10 U10
Orcamon 	Bo21	Bo-1042 	Hawkmon + OO Penmon + OO Gomamon + O	IV	Blue		Aquatic Beast Man 	Data	DS	C	430	340	220	(S)Add 340 to the attack power of your Deep Savers Digimon. 	III20 IV10 P10 U10
Mermaimon 	Bo21	Bo-1043 	Depthmon + Winning Percentage: 40%! Tylomon + Winning Percentage: 40%! Orcamon + Winning Percentage: 40%!	Perfect	Blue		Aquatic Beast Man 	Data	DS	A	630	500	420	Cannot lose its special abilities. (O)When the opponent is a red frame Digimon, even if you lose the battle, you may discard three cards from your hand and not be sent to the Dark Area. 	III30 IV20 P20 U20
Ancient Mermaimon 	Bo21	Bo-1044 	Mermaimon (Blue Frame) + Winning Percentage: 80%! Marin Angemon (Blue Frame) + The Conflict I Staked My Life On 	Ultimate	Blue	Warrior Ten	Ancient Aquatic Beast Man 	Data	DS	C	710	660	580	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)When you evolve using the card 'The Conflict I Staked My Life On', triple your attack power until the end of the turn. 	III40 IV30 P30 U30
Archelomon 	Bo21	Bo-1045 	Muchomon + Winning Percentage: 40%! Wormmon (Blue Frame) + OO Gizamon + O	IV	Blue		Reptile 	Data	DS	A	440	370	220	(S)Add 370 to the attack power of your Data attribute Digimon. 	III20 IV10 P10 U10
Goburimon 	Bo21	Bo-1046 	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Oni 	Virus	Nso	B	370	260	200	(O)Has the ability "grappling". 	III10 IV10 P10 U10
Gorimon 	Bo21	Bo-1047 	Goburimon + O Shamamon + O Koemon + O	IV	Blue		Beast Man 	Data	UK	C	450	390	220	(O)Has the ability "grappling". (O)When facing a red frame Level IV or Perfect level Digimon, add 200 to your attack power. 	III20 IV10 P10 U10
Orgemon 	Bo21	Bo-1048 	Goburimon + O Gizamon + OX Neamon + O	IV	Blue		Oni 	Virus	Nso	B	450	420	200	(S)Add 420 to the attack power of your Nightmare Soldiers Digimon. 	III20 IV10 P10 U10
War Greymon 	Bo21	Bo-1049 	Metal Greymon + Winning Percentage: 60%! Mistymon + Winning Percentage: 60%! (O)Can only evolve from blue frame Virus attribute Digimon.	Ultimate	Blue		Dragon Man 	Virus	ME	A	720	600	480	(O)Until the end of the turn during which you evolved to this Digimon, you may change your attack to A as many times as you want. 	III40 IV30 P30 U20
Peacockmon 	Bo21	Bo-1050 	Hawkmon + OO Piyomon + OO Bokomon + O	IV	Blue		Machine 	Data	ME	C	420	390	300	(S)Add 390 to the attack power of your Metal Empire Digimon. 	III20 IV20 P10 U10
Hououmon 	Bo21	Bo-1051 	Garudamon + Winning Percentage: 60%! Hippogriffomon + Winning Percentage: 60%! Mihiramon + Winning Percentage: 60%! 	Ultimate	Blue		Holy Beast 	Vaccine	WG	B	630	560	490	The evolution requirements cannot be ignored. (O)When you evolve into this Digimon, return the top 10 cards of your Dark Area to your Net Ocean and shuffle it. 	III40 IV30 P20 U10
Hanumon 	Bo21	Bo-1052 	Armadimon + OX Shamamon + OO Kotemon + O	IV	Blue		Beast Man 	Vaccine	VB	A	420	380	260	(S)Add 420 to the attack power of your Virus Busters Digimon. 	III20 IV10 P10 U10
Ancient Garurumon 	Bo21	Bo-1053 	Were Garurumon (Blue Frame) + Winning Percentage: 80%! Metal Garurumon (Blue Frame) + The Conflict I Staked My Life On	Ultimate	Blue	Warrior Ten	Ancient Beast 	Data	UK	A	780	650	560	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)When you evolve using the card 'The Conflict I Staked My Life On', triple your attack power until the end of the turn. 	III40 IV30 P30 U30
Ouryumon 	Bo21	Bx-37 	Hisyaryumon + Winning Percentage: 80%! Hisyaryumon + Aqua Orb	Ultimate	Red		Beast Dragon 	Vaccine	Nsp	A	940	830	540	The evolution requirements cannot be ignored. (O)Has the ability "grappling". (O)When facing a Digimon with 'Fusion Requirements' or 'Appearance Requirements' in its evolution requirements field, triple your attack power. 	III50 IV40 P40 U40
Hisyaryumon 	Bo21	Bx-38 	Ginryumon + Winning Percentage: 60%!	Perfect	Red		Beast Dragon 	Vaccine	Nsp	A	780	520	440	The evolution requirements cannot be ignored. (O)During battle, for every Item Option card you discard from your hand, add 300 to your attack power. 	III40 IV40 P20 U10
Ginryumon 	Bo21	Bx-39 	Ryudamon + Winning Percentage: 40%!	IV	Red		Beast Dragon 	Vaccine	Nsp	A	500	460	250	The evolution requirements cannot be ignored. Cannot lose its special abilities. (O)Has the ability "underground". (O)When your points are 60 and below, you gain the abilities "flame" and "grappling". 	III30 IV20 P10 U10
