Name	Set	ImageFile	Card Number	Evo/Activation	Level	Frame	Group	Type	Attribute	Field	AT	AP	BP	CP	Abilities	LostPoint
Kaiser Greymon	Bo17	Bo-802	Bo-802	Aldamon + Wind to Flame and Ice to Sword/(O)At the end of the turn after the turn during which fusion took place, send this card to the Dark Area./When you win in battle, your opponent takes the Lost Points of an Ultimate. 	Hybrid	Blue	Trascendent Form	Dragon Warrior	Variable (same as the opponent)	WG	A	900	780	630	The fusion requirements cannot be ignored. Cannot lose its special abilities. (O)For every support Digimon that the opponent has, add 500 to your attack power.	III40 IV40 P30 U30
Bokomon	Bo17	Bo-803	Bo-803	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Mutant	Vaccine		B	360	260	170	(S)Send this card from your hand to your support box and add 260 to the attack power of your Digimon belonging to the Warrior Ten.	III10 IV10 P10 U10
Neamon	Bo17	Bo-804	Bo-804	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast	Data		C	330	220	140	(S)Send this card from your hand to your support box and add 220 to the attack power of your Digimon belonging to the Warrior Ten.	III10 IV10 P10 U10
Kaiser Leomon	Bo17	Bo-805	Bo-805	Spirit Evolution/Lowemon + Spirit of Darkness K/Perfect Digimon + Spirit of Darkness K/(O)The spirit remains in the support box until this card is sent to the Dark Area. 	Hybrid	Blue		Cyborg	Variable (same as the opponent)	NSp	A	690	540	530	When facing a Digimon whose evolution requirements field or type contains the words 'Darkness', 'Black' ('Dark Dragon'/'Dark Knight' included), or 'Demon' ('Devil'/'Small Devil'/'Magic Warrior' included), triple your attack power (this excludes other Löwemon and Kaiser Leomon).	III40 IV30 P20 U20
Justimon	Bo17	Bo-806	Bo-806	Cyberdramon + Winning Percentage: 60%!/Wolfmon + Winning Percentage: 60%!/Löwemon + Winning Percentage: 60%! 	Ultimate	Blue		Cyborg	Vaccine	WG	A	710	620	440	(O)Has the ability "sky". (O)When facing a Digimon belonging to Virus Busters, add 300 to your attack power.	III40 IV30 P20 U10
Bearmon	Bo17	Bo-807	Bo-807	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast	Vaccine	NSp	B	360	290	150	(S)Send this card from your hand to your support box and add 290 to the attack power of one of your Hybrid level Digimon, or Digimon belonging to Nature Spirits (This card can be specially placed in the support box of a Hybrid level).	III10 IV10 P10 U10
Koemon	Bo17	Bo-808	Bo-808	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Beast	Virus	NSp	A	370	260	190	(S)Send this card from your hand to your support box and add 260 to the attack power of one of your Hybrid level Digimon, or Digimon belonging to Nature Spirits (This card can be specially placed in the support box of a Hybrid level).	III10 IV10 P10 U10
Gomamon	Bo17	Bo-809	Bo-809	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Marine Animal	Vaccine	DS	B	360	250	190	(S)Send this card from your hand to your support box and add 250 to the attack power of one of your Hybrid level Digimon, or Digimon belonging to Deep Savers (This card can be specially placed in the support box of a Hybrid level).	III10 IV10 P10 U10
Palmon	Bo17	Bo-810	Bo-810	Unless this Digimon is replaced with another Level III Digimon, it cannot be sent to the Dark Area.	III	Blue		Plant	Data	NSp	C	360	240	160	(S)Send this card from your hand to your support box and add 240 to the attack power of one of your Hybrid level Digimon, or Digimon belonging to Nature Spirits or Wind Guardians (This card can be specially placed in the support box of a Hybrid level).	III10 IV10 P10 U10
Raijinmon	Bo17	Bo-811	Bo-811	Cyberdramon + Winning Percentage: 60%!/Nanomon + Winning Percentage: 60%!/Andromon + Winning Percentage: 60%!/Rapidmon Perfect + Winning Percentage: 60%! 	Ultimate	Blue		Cyborg	Virus	ME	C	690	580	460	Discard one Justimon card from your hand and add 400 to your attack power (1 card max. If the card you discarded contains the words 'Trinity Arm', add 800 to your attack power instead).	III40 IV30 P20 U10
